"default","score"
0,426
0,459
0,688
0,607
1,422
0,756
0,728
0,608
0,684
0,762
0,641
0,557
0,791
0,542
0,669
0,586
0,456
0,774
0,762
0,572
0,738
0,711
0,669
1,430
0,698
0,515
0,611
0,611
1,433
0,720
0,527
0,600
0,595
0,702
0,671
0,630
0,790
0,460
0,604
0,484
0,468
0,717
0,643
1,427
1,448
0,770
0,560
1,416
0,611
0,748
0,713
0,684
1,474
0,469
0,684
0,733
0,591
0,460
0,489
0,580
0,694
0,497
0,774
0,713
0,591
0,456
0,529
1,565
0,591
0,755
0,722
0,476
0,761
0,757
0,619
0,795
0,655
0,619
0,739
0,632
0,472
0,441
0,776
0,523
0,650
0,631
0,676
0,660
0,521
0,430
1,450
0,710
0,403
1,468
0,566
0,414
0,551
0,789
0,784
0,557
0,703
0,644
0,687
0,761
0,716
1,521
0,621
0,792
0,687
1,569
0,508
0,549
0,720
1,437
0,423
0,569
0,727
0,758
0,525
1,425
1,411
0,648
0,708
0,619
0,456
1,405
0,534
0,449
0,547
0,563
0,512
0,783
0,488
1,421
0,755
0,613
0,699
1,451
0,761
0,538
0,560
0,569
0,612
0,496
0,546
0,608
0,585
0,556
0,719
0,604
1,440
0,609
0,511
0,763
1,441
0,717
0,670
0,488
0,479
0,776
0,471
0,704
0,453
0,534
0,595
0,774
0,713
0,507
0,695
0,702
0,623
0,764
0,472
0,572
0,441
0,690
0,560
0,597
0,506
0,431
0,646
0,759
0,550
0,522
0,693
0,425
0,529
0,583
0,727
0,480
0,633
0,557
0,702
0,545
1,431
0,623
0,451
0,705
1,410
0,578
0,691
0,445
0,624
0,677
0,706
0,696
0,585
0,552
0,705
0,653
0,633
0,755
0,778
0,463
0,659
0,727
0,662
0,500
0,418
0,477
1,405
0,770
0,610
0,788
0,435
0,750
0,580
0,693
1,557
0,544
0,614
1,511
0,468
0,632
0,749
0,711
0,595
0,649
0,668
0,587
1,520
0,766
0,537
0,511
0,666
0,451
1,555
0,732
1,423
0,463
0,714
0,764
0,753
0,530
1,444
0,680
0,621
0,738
0,640
0,467
0,623
0,697
0,774
1,428
0,451
0,578
0,675
0,473
0,505
0,716
0,729
0,644
1,414
0,473
0,434
0,594
0,596
0,630
0,713
0,538
0,429
0,605
0,585
1,420
0,697
0,553
0,774
0,508
0,615
0,699
0,413
0,658
0,572
0,467
0,627
0,732
0,585
1,473
0,644
0,670
0,585
0,640
0,582
0,414
0,702
0,442
0,599
0,671
1,446
0,775
0,681
0,567
1,430
0,547
0,791
0,686
0,525
0,581
0,771
0,629
0,604
0,711
0,675
0,442
0,564
0,760
0,598
0,438
0,537
0,627
0,565
1,541
0,779
0,579
0,547
0,788
0,723
0,754
0,744
0,650
0,622
0,631
0,564
0,780
0,505
0,505
1,469
1,413
0,484
1,410
0,489
0,780
1,404
0,778
0,743
0,495
0,416
0,403
0,762
0,606
0,440
0,576
0,580
0,670
0,684
0,576
0,453
0,772
0,632
0,483
0,734
0,677
0,670
0,669
0,574
0,465
0,775
0,686
0,718
0,719
0,714
0,629
0,438
0,738
0,676
0,695
0,470
0,759
0,642
0,411
0,547
0,535
0,579
1,456
0,783
0,716
0,492
0,576
0,774
0,693
0,511
0,767
0,773
0,505
0,629
0,757
0,573
1,502
0,557
0,770
0,416
0,699
0,543
0,680
0,619
0,601
0,677
1,530
0,665
0,608
0,615
1,458
0,752
0,566
0,663
0,707
0,731
0,571
1,403
0,420
0,680
0,701
0,444
0,735
0,798
0,635
0,599
0,662
0,770
0,705
0,629
0,438
0,676
1,473
0,460
0,648
0,430
0,743
0,605
0,565
0,512
0,771
0,478
0,592
0,564
0,511
1,520
0,564
0,646
0,489
0,750
0,616
0,586
1,451
0,691
0,676
0,415
0,738
0,686
0,669
0,672
0,790
0,551
0,504
0,471
0,779
0,709
0,497
1,428
0,731
0,608
0,490
0,475
0,788
0,533
0,763
0,564
0,540
0,504
0,410
0,542
0,759
0,795
0,480
0,558
0,422
0,618
0,570
0,616
0,769
0,487
1,545
1,405
0,614
0,484
0,492
0,621
0,505
0,590
1,427
0,597
0,459
0,629
0,508
1,443
0,547
0,677
1,473
0,696
0,724
0,575
0,655
0,550
1,403
0,508
0,696
0,546
0,479
0,624
0,637
0,649
0,649
0,606
1,496
0,669
0,658
0,726
1,536
0,657
0,605
0,754
0,746
0,682
0,471
0,635
0,679
0,714
0,610
0,623
1,488
0,609
0,518
0,719
1,453
0,757
0,729
0,623
0,442
0,625
0,789
0,465
0,596
0,795
0,718
0,620
0,663
0,493
0,440
0,754
0,643
0,649
0,532
0,464
0,681
0,432
0,511
0,522
0,514
1,489
0,651
0,621
0,765
0,574
0,496
1,510
0,576
0,737
0,729
0,794
0,768
0,756
0,627
0,575
0,750
0,678
0,690
1,407
0,794
0,663
1,423
1,435
0,753
0,734
0,608
0,502
0,758
0,504
0,527
1,652
0,429
0,647
0,673
1,407
0,782
0,524
0,598
0,655
0,592
0,666
0,747
0,732
1,429
0,543
0,556
0,779
0,475
0,545
0,507
0,774
0,590
0,648
0,715
0,485
0,565
0,669
0,794
0,469
0,619
0,456
0,629
0,702
0,638
1,482
0,799
0,692
0,553
0,761
1,402
0,517
0,558
0,557
0,670
0,497
0,589
0,711
0,678
0,499
0,690
0,627
0,767
0,442
1,506
0,538
0,496
0,427
1,503
0,421
0,448
0,668
0,504
1,562
0,603
0,733
0,519
0,528
0,799
0,571
0,772
0,689
0,799
0,524
0,604
0,538
0,770
0,472
0,724
1,405
0,765
0,420
0,471
0,573
0,700
0,774
0,766
1,499
0,664
0,626
0,783
0,673
1,553
0,492
0,450
0,423
0,500
0,493
0,593
0,683
1,469
0,487
0,570
0,693
0,635
0,605
0,695
1,456
1,405
0,414
0,474
0,537
0,589
0,628
0,505
0,748
0,543
1,525
0,619
0,665
0,682
0,662
0,771
0,698
0,626
0,531
0,600
0,667
0,694
0,622
0,621
0,703
0,410
0,788
0,571
0,629
0,783
0,599
0,537
0,631
0,715
0,501
0,706
0,634
0,586
1,522
0,558
0,758
0,481
0,678
0,679
0,728
0,643
0,416
0,641
0,713
