"default","score"
0,759
0,572
0,781
1,487
0,638
0,769
1,584
0,469
0,426
1,434
0,491
0,688
0,696
0,618
0,514
0,729
0,540
0,771
0,780
1,424
1,428
0,776
0,455
0,508
1,595
0,720
0,565
0,706
0,498
1,544
0,792
0,621
0,639
0,684
0,560
0,478
0,677
0,511
1,468
0,775
0,727
0,512
0,531
0,600
0,675
0,739
0,592
0,606
0,421
0,774
0,538
0,684
0,588
1,410
0,433
0,761
0,781
1,434
0,503
0,553
0,759
0,406
0,599
0,450
0,753
0,634
0,576
0,724
0,622
0,583
0,703
1,472
0,735
0,615
0,430
0,634
0,756
0,695
0,606
0,513
0,668
0,758
0,519
0,726
0,645
0,627
0,691
0,426
0,464
0,710
1,413
1,562
1,415
0,559
0,600
0,463
1,462
0,474
0,780
0,469
0,668
0,502
0,741
0,623
0,711
0,433
0,787
0,753
1,522
0,487
0,738
1,404
1,529
1,406
0,576
0,659
0,432
0,740
0,758
0,522
0,408
0,487
0,512
0,481
0,553
0,778
1,422
1,446
0,787
0,487
0,592
0,500
0,668
0,492
0,795
0,787
0,788
0,417
0,672
0,729
0,709
0,697
0,515
1,526
0,734
0,553
0,792
0,752
0,518
1,551
0,430
0,657
0,557
1,402
0,668
0,650
0,576
0,533
0,700
0,560
1,481
0,606
0,763
0,548
0,653
1,575
0,737
0,550
0,516
1,419
0,693
0,713
0,776
0,727
0,767
0,592
0,502
0,566
0,436
0,462
0,558
0,489
0,657
0,414
1,580
0,666
0,591
0,759
0,591
0,723
0,766
0,683
0,463
1,436
0,421
0,502
0,561
0,676
0,593
0,554
1,406
0,796
0,668
0,786
0,766
1,421
0,420
0,725
0,709
0,665
0,748
0,786
1,434
0,444
0,512
0,631
1,438
0,797
0,682
0,769
0,619
0,600
0,724
1,423
0,672
0,731
0,616
0,795
0,482
0,568
0,534
0,693
0,795
0,587
0,585
0,639
0,558
1,488
0,584
0,785
0,702
0,703
0,593
1,404
0,782
0,427
0,700
0,696
0,707
0,422
0,570
0,785
0,641
0,628
1,403
0,534
0,627
0,592
0,405
1,481
0,731
0,558
1,418
0,704
0,536
0,612
1,448
0,641
0,432
0,490
0,772
0,733
0,779
0,417
0,640
0,507
0,629
0,544
0,510
0,726
0,776
0,683
0,709
0,519
0,547
0,441
0,620
0,590
0,491
0,549
0,601
0,440
0,444
0,573
0,590
0,724
0,530
0,712
0,660
0,630
0,715
0,777
0,673
0,539
0,746
0,780
0,418
1,507
0,783
0,671
0,791
0,637
0,796
0,666
0,649
0,549
0,447
0,667
0,536
0,485
0,789
1,426
0,645
0,723
0,788
0,605
0,507
0,711
0,505
0,431
1,530
0,446
0,506
0,484
0,646
0,668
0,624
1,423
0,518
0,649
0,419
0,795
0,661
0,763
0,495
1,525
0,774
0,417
0,674
0,787
0,495
0,442
0,462
0,503
1,440
0,797
0,672
0,700
0,658
1,549
0,409
0,421
0,550
0,619
0,624
0,518
0,432
1,485
0,690
0,567
0,626
1,511
0,573
0,779
0,499
1,511
0,596
0,543
0,682
0,736
0,785
0,685
0,536
0,540
1,497
0,556
0,725
0,536
0,773
1,540
0,454
0,649
0,784
0,772
0,728
0,765
0,718
1,424
0,782
0,566
0,784
0,704
0,712
0,617
0,623
0,746
0,640
0,682
0,701
1,486
0,424
0,765
0,458
0,554
0,692
0,784
1,476
0,737
1,469
0,656
0,709
0,515
0,448
0,763
1,493
0,762
0,724
0,473
0,696
0,716
0,648
0,426
0,659
0,532
0,534
0,462
0,597
0,551
0,497
0,742
0,752
1,414
0,613
0,555
0,580
0,535
1,578
0,665
1,421
0,564
0,490
0,789
0,767
0,403
0,608
0,683
0,730
1,526
0,765
0,483
0,625
0,527
0,622
0,709
0,443
0,641
1,478
0,740
0,733
0,661
0,431
0,634
0,724
0,547
0,570
0,597
0,762
0,443
0,476
0,537
1,421
0,796
0,504
0,771
0,596
0,772
0,590
0,517
0,487
0,785
0,701
0,496
0,707
0,522
0,527
0,612
0,629
0,564
0,603
0,539
0,494
0,761
0,444
0,493
1,444
0,667
0,653
0,468
0,694
0,586
0,478
1,458
1,432
0,584
0,691
1,471
0,561
0,735
1,495
1,413
1,498
0,470
0,800
1,432
0,740
0,645
1,462
0,509
0,494
0,553
0,703
0,479
0,786
0,602
0,771
0,619
0,454
0,754
1,424
0,745
0,500
0,588
0,527
0,512
0,472
1,493
0,578
0,492
0,664
0,583
0,692
0,460
0,643
0,717
0,739
0,764
0,538
0,680
0,785
0,549
0,663
0,597
0,569
0,658
0,665
0,715
0,752
0,717
0,647
0,739
1,425
0,779
1,426
0,608
0,509
0,765
0,587
0,666
0,555
0,677
0,411
0,657
0,796
0,770
0,712
0,677
0,786
0,510
0,785
1,435
0,751
1,444
0,582
0,708
0,618
1,405
0,475
1,458
0,713
0,560
0,661
0,487
0,480
0,463
0,682
0,553
0,650
0,767
0,623
0,426
0,699
0,679
0,716
0,590
0,491
0,500
0,670
0,416
0,583
0,754
0,566
0,656
1,499
0,441
0,432
0,555
0,438
0,747
0,505
0,727
0,628
1,462
0,505
1,490
0,581
1,406
0,655
0,607
1,455
0,581
0,589
0,740
0,756
0,678
0,706
0,530
0,556
0,481
0,464
1,456
0,490
0,770
0,753
1,413
0,561
0,561
0,490
0,403
1,419
0,632
0,655
0,685
0,644
0,596
0,425
0,405
0,682
1,455
0,652
0,605
0,527
0,744
0,775
0,485
0,647
0,781
0,480
1,424
0,734
0,797
0,441
0,621
1,438
0,655
0,443
0,528
0,473
0,599
0,644
0,775
0,671
0,529
0,798
0,654
0,661
0,603
0,471
0,664
0,538
0,460
0,629
1,401
0,576
0,721
0,758
0,431
0,446
0,449
0,426
0,493
0,669
0,615
0,748
0,774
1,489
0,784
0,553
0,743
0,441
0,743
0,595
0,551
0,424
0,596
0,582
0,597
0,783
0,539
0,747
0,403
0,692
0,482
0,717
0,726
0,719
0,701
0,599
0,702
0,537
0,405
0,442
0,759
0,710
0,641
0,462
0,739
0,723
0,629
0,682
0,519
0,612
0,763
0,406
0,682
0,716
0,790
0,507
0,688
0,565
0,795
0,525
0,738
0,715
0,605
0,508
0,650
0,439
0,623
0,554
0,739
0,443
0,648
1,438
1,427
1,484
0,423
0,787
0,784
0,605
1,452
0,676
0,614
0,537
0,715
0,589
0,521
0,557
1,606
0,510
0,593
0,556
0,453
0,671
1,432
0,510
0,565
0,599
0,510
0,590
0,487
1,410
0,441
0,794
1,412
0,587
0,555
0,570
0,703
0,770
0,482
0,575
0,587
1,488
0,770
0,557
0,682
0,793
0,563
0,640
1,427
0,405
0,557
0,752
0,543
0,408
0,630
1,563
0,666
0,476
0,640
0,779
0,656
0,402
0,763
0,610
0,471
0,512
1,442
0,542
0,461
0,643
0,630
0,622
0,680
0,526
1,454
0,613
0,623
0,592
0,760
1,421
0,687
0,751
0,494
0,690
0,501
0,755
0,674
0,779
0,483
0,592
0,548
1,512
0,769
1,402
1,420
0,559
0,771
0,793
1,527
0,488
0,526
0,612
0,691
0,648
0,419
0,669
0,554
0,655
0,761
0,747
0,557
0,602
0,531
0,583
0,667
0,541
0,538
0,530
0,756
0,707
0,766
0,638
0,505
0,669
0,466
0,659
0,618
0,770
0,752
0,687
0,617
0,613
0,517
0,606
0,491
0,728
0,528
0,476
0,718
0,432
0,710
0,493
0,685
0,668
0,651
0,470
0,614
