"default","score"
0,508
0,689
0,692
0,627
0,755
0,635
1,501
0,507
0,748
0,534
0,765
0,574
0,796
0,763
0,733
0,778
0,573
0,483
0,587
0,697
0,562
1,458
0,753
0,788
0,701
0,470
0,743
0,445
0,453
1,454
0,574
0,557
0,525
0,431
0,695
0,653
0,779
0,763
0,595
0,649
0,757
1,550
0,547
0,480
0,727
0,659
0,719
0,687
0,622
0,527
0,659
0,504
0,664
1,521
0,767
0,675
0,506
0,476
0,580
1,407
0,737
0,636
1,482
0,800
0,480
0,786
0,746
0,550
0,486
0,517
0,686
0,577
0,665
0,703
0,697
0,664
0,728
0,456
0,413
1,488
0,700
0,641
1,515
0,726
0,594
0,600
1,512
0,764
1,548
0,687
0,566
1,470
1,443
0,516
0,513
0,626
0,706
0,684
0,654
0,727
0,721
1,460
0,546
0,735
0,498
0,790
0,521
0,519
1,419
0,734
0,780
1,407
0,651
0,633
0,681
0,716
0,690
0,593
0,725
0,523
0,624
0,754
0,449
0,547
0,774
0,588
0,467
0,731
0,594
0,534
0,584
0,625
0,616
0,409
0,671
0,777
1,435
0,548
0,445
0,705
0,472
0,528
0,680
0,614
0,492
0,688
0,438
0,780
0,436
1,430
1,400
0,756
0,497
0,502
0,757
0,761
1,428
0,499
0,623
0,614
0,781
0,644
0,557
0,628
0,636
0,550
0,501
0,489
0,730
0,584
0,757
0,658
1,577
0,595
0,768
0,711
0,458
1,428
0,403
0,499
0,558
0,780
0,799
0,585
0,653
0,547
1,438
0,575
0,448
1,469
1,432
0,489
1,404
1,400
0,746
0,670
0,650
0,524
0,640
0,703
0,479
0,696
0,608
0,445
0,782
1,413
0,429
0,788
0,513
0,729
0,728
0,653
0,734
0,574
0,754
0,597
0,635
0,446
0,658
0,516
0,788
0,604
0,431
0,709
0,456
1,568
0,508
0,591
0,407
0,544
0,762
0,623
0,754
0,502
0,753
0,573
0,763
0,423
1,477
1,482
0,681
0,548
0,678
0,417
0,615
0,715
0,539
0,650
0,438
0,735
0,607
0,596
0,432
1,535
0,480
0,677
1,511
0,426
0,515
0,774
0,557
0,623
1,406
0,617
0,773
0,515
0,769
0,754
0,477
0,595
0,579
0,788
0,723
0,649
0,740
0,464
0,727
0,482
0,703
0,574
0,794
0,471
0,583
1,425
0,437
0,538
0,746
0,567
0,663
0,719
0,459
0,512
0,533
0,698
0,782
0,700
0,582
0,748
0,705
0,478
0,436
0,538
0,565
0,770
0,691
0,520
0,754
0,745
0,729
0,729
0,520
0,595
0,701
0,787
1,485
0,748
0,629
0,469
0,621
0,660
1,571
0,685
0,492
0,690
0,569
0,659
0,493
0,772
0,793
0,740
0,689
0,520
0,660
0,735
0,584
0,649
1,607
0,669
0,533
0,692
0,581
0,479
0,791
0,525
0,771
0,663
0,732
0,479
0,780
0,779
0,581
0,652
0,669
1,484
0,716
0,681
0,476
0,653
0,488
0,771
1,434
0,762
0,510
0,485
0,556
1,439
0,554
1,406
1,463
0,409
0,483
0,475
1,519
0,544
0,454
1,477
1,522
0,599
0,655
1,445
0,418
0,582
0,528
0,453
0,615
0,789
0,524
0,755
1,425
0,753
0,709
0,466
0,447
0,417
0,693
0,672
0,457
0,745
0,648
1,471
0,507
0,721
1,438
0,782
0,648
0,636
0,665
1,452
0,695
1,425
0,717
0,550
0,440
0,669
0,657
0,518
0,740
0,600
0,633
0,478
0,508
0,486
0,729
0,456
0,633
0,700
0,781
0,733
0,661
0,569
0,447
0,402
0,671
0,494
0,681
0,741
0,524
0,614
0,545
0,569
0,469
0,787
0,673
0,593
0,666
0,558
0,765
1,466
0,622
0,545
0,413
0,694
0,528
0,546
0,500
1,400
0,487
1,442
0,702
0,769
0,537
0,731
0,783
1,421
0,631
0,480
0,765
0,485
0,528
0,416
0,438
0,561
0,776
0,434
0,485
0,576
0,704
0,511
0,497
0,618
0,592
0,680
0,568
0,683
0,701
0,733
0,585
1,426
1,425
0,687
0,480
0,543
0,447
0,799
0,747
0,435
0,639
0,654
0,671
1,460
0,798
0,582
0,484
0,623
0,472
0,730
0,523
0,783
0,760
0,537
0,616
0,762
0,623
0,754
0,686
0,776
1,421
0,433
0,721
0,544
0,572
1,406
1,419
1,502
0,513
0,641
0,706
0,504
1,419
0,664
0,791
0,489
0,659
0,696
0,790
0,628
0,757
1,530
0,631
0,424
0,750
0,778
0,524
0,754
0,707
0,716
0,522
0,495
0,667
0,778
1,440
0,473
0,589
1,443
0,638
0,786
1,412
0,568
0,592
0,762
0,548
1,574
0,505
0,636
0,764
0,735
0,401
0,556
0,550
0,419
0,443
0,606
0,569
0,696
0,662
1,489
0,587
0,758
0,495
0,578
0,547
0,656
0,479
0,755
0,467
0,423
0,453
0,466
1,413
0,543
0,546
0,488
0,760
0,684
0,442
0,793
0,771
0,733
0,600
0,618
0,724
0,611
0,686
0,644
0,700
0,471
0,606
0,618
0,698
0,506
0,624
1,465
0,739
0,736
0,673
0,630
0,696
0,461
0,798
0,709
0,711
0,606
0,589
0,769
0,648
0,604
0,626
0,518
0,665
0,779
0,669
0,641
0,495
0,687
0,586
0,675
0,537
0,622
0,492
0,553
0,638
0,509
0,544
0,607
0,543
0,477
0,702
0,601
0,602
0,755
1,626
0,537
0,464
0,534
0,620
1,426
1,464
0,784
1,434
