"default","score"
0,467
0,427
1,416
0,536
0,797
0,694
0,601
0,749
0,589
0,586
0,699
1,471
0,753
0,660
0,679
0,690
0,550
0,711
0,591
0,644
0,543
0,409
1,511
0,553
1,413
0,456
0,672
0,652
1,438
0,570
0,551
0,774
0,452
0,568
0,732
0,754
1,452
0,575
0,594
0,630
0,655
0,771
0,449
0,668
0,603
0,770
0,693
0,551
0,746
0,479
0,574
1,408
0,477
0,513
0,682
0,639
0,610
0,599
0,656
0,590
0,409
0,705
0,709
0,550
0,513
0,599
0,551
0,773
0,574
0,755
0,611
0,419
1,504
0,565
0,785
0,594
0,585
0,781
0,481
1,431
0,709
0,527
0,482
0,659
0,780
0,404
0,453
0,554
0,466
0,783
0,426
0,432
0,595
0,657
0,611
0,512
0,686
0,426
0,746
1,438
0,796
0,480
0,613
0,578
0,425
0,613
0,505
0,799
0,574
0,580
0,789
0,604
0,489
0,604
0,559
0,483
0,603
0,554
0,799
0,608
0,437
1,407
1,519
0,511
0,610
0,621
0,597
0,646
0,663
0,777
0,401
0,591
1,409
1,431
0,485
0,466
0,546
1,444
0,452
0,794
0,792
0,546
0,676
0,780
0,721
0,692
0,558
0,432
0,536
0,509
0,778
0,631
1,441
1,467
1,428
0,636
0,729
0,795
0,445
0,758
1,425
0,724
0,790
0,498
0,548
0,580
0,579
0,789
0,634
0,629
0,672
0,744
0,444
0,757
0,548
1,553
0,754
1,472
0,665
0,624
0,548
1,413
0,678
1,527
0,800
0,567
0,528
0,452
0,534
0,675
0,766
0,709
1,425
0,687
1,404
0,538
0,400
0,719
0,771
0,783
0,798
0,683
0,404
1,495
0,446
0,540
0,604
0,584
0,695
0,694
0,665
0,516
0,797
1,521
0,422
0,573
0,544
0,407
0,798
0,594
0,763
1,413
0,612
0,470
0,730
0,689
0,539
0,795
0,617
0,450
0,614
0,615
0,577
0,776
0,786
0,619
0,710
0,796
0,707
0,409
0,428
0,739
0,524
0,605
1,425
0,749
0,778
0,531
0,528
0,625
0,553
0,614
0,712
0,680
0,476
