"default","score"
0,748
0,605
1,406
0,773
1,422
0,582
0,794
0,723
0,591
0,544
0,637
0,546
0,540
1,407
0,773
0,766
0,577
1,413
0,630
0,648
0,447
0,507
0,637
0,700
0,644
0,723
0,531
0,403
0,752
0,692
0,568
0,620
0,762
0,768
0,406
0,481
0,770
0,782
0,651
0,569
0,438
0,537
0,713
0,712
1,447
0,476
0,469
0,693
0,617
1,444
0,661
0,460
0,732
0,527
1,432
0,519
1,436
0,585
0,700
0,661
0,432
0,613
0,429
0,743
0,777
0,771
1,537
0,788
0,789
0,664
0,456
0,787
1,599
0,538
0,718
0,623
0,741
0,600
0,507
0,761
0,800
0,506
0,571
0,611
0,433
0,631
0,597
0,787
0,619
0,564
0,703
0,437
0,626
0,655
0,661
0,785
1,438
0,758
0,572
0,710
0,503
0,621
0,630
0,701
0,603
0,690
0,712
0,555
1,434
0,578
0,710
0,629
0,773
0,749
0,788
0,611
0,457
0,636
0,617
0,419
0,776
0,438
1,420
0,784
0,688
0,513
0,754
0,533
0,592
0,732
0,596
0,773
0,530
0,633
0,635
0,467
0,473
0,628
0,431
0,530
0,405
1,474
0,761
0,685
0,597
0,418
1,518
0,774
0,756
0,675
0,477
1,418
0,795
0,773
1,528
0,783
0,758
0,445
0,469
0,663
1,493
0,736
0,732
0,575
0,595
0,579
0,647
0,637
0,478
0,441
0,688
0,699
0,706
0,635
0,633
0,412
0,621
0,796
0,523
0,785
0,515
0,739
0,790
0,750
0,435
0,747
0,607
0,637
0,633
0,753
0,599
0,735
0,794
0,582
0,776
0,507
0,704
1,409
1,402
0,713
0,675
1,466
0,446
0,427
0,667
1,525
0,704
1,404
0,698
0,563
0,643
0,793
0,448
0,649
0,503
0,760
1,435
0,752
0,784
0,780
0,781
0,640
0,640
0,608
0,544
0,415
0,612
1,421
0,584
0,511
0,699
0,787
0,415
0,772
1,475
1,464
0,693
0,662
1,524
0,512
0,778
0,795
0,598
0,574
0,655
1,477
0,685
0,464
0,504
0,512
0,414
0,550
0,574
0,544
0,453
0,790
0,400
0,713
0,435
0,744
0,792
0,770
0,613
0,672
1,412
0,698
0,574
0,550
0,598
0,756
0,481
0,418
0,423
1,460
0,719
0,691
0,793
0,778
0,403
0,699
0,787
0,716
0,699
0,669
0,750
0,443
0,586
0,510
0,515
0,612
0,651
0,460
0,681
0,688
0,583
0,544
1,400
0,520
0,652
0,584
0,473
0,468
1,517
0,569
1,448
0,750
0,781
0,737
0,748
0,555
0,740
1,433
0,516
0,778
0,446
0,505
0,403
0,767
0,435
0,785
0,450
0,647
0,748
0,597
0,638
0,687
0,634
0,518
0,760
0,737
0,653
0,792
0,496
0,552
0,675
0,781
0,663
0,709
0,463
0,795
0,665
0,788
0,715
0,779
0,663
1,435
0,604
0,788
0,633
0,796
0,439
0,717
0,678
0,713
0,603
0,546
0,587
0,476
0,636
0,538
0,795
0,402
1,458
0,703
0,625
0,774
0,571
0,487
0,709
0,736
0,792
0,794
0,789
0,403
0,539
0,617
0,555
0,795
0,714
0,727
0,754
0,675
1,401
0,507
0,436
0,543
0,513
0,562
1,401
0,648
1,453
0,781
0,796
0,608
0,704
0,527
0,659
0,410
1,456
0,514
0,640
0,617
1,406
0,623
0,693
0,609
0,691
0,510
0,577
1,476
0,694
0,545
0,525
0,520
0,482
0,614
0,625
0,758
0,642
0,436
0,720
1,461
0,679
0,703
0,549
0,470
0,657
0,654
0,485
0,715
0,572
0,575
0,641
0,602
0,682
0,616
0,428
0,682
0,530
0,630
0,746
0,631
0,712
0,586
1,411
0,602
0,571
0,735
0,526
0,797
0,794
0,742
0,725
0,478
0,642
0,640
0,420
0,786
0,519
1,562
0,781
1,526
0,610
0,595
0,567
0,742
0,799
0,595
0,613
0,726
0,625
0,784
0,620
0,565
0,582
0,674
0,796
0,709
0,732
0,529
0,496
0,581
0,775
0,603
1,451
0,698
0,519
1,532
1,464
0,663
0,736
0,676
0,439
0,604
0,593
0,550
0,685
0,735
0,452
0,641
0,749
0,705
0,549
0,784
1,523
0,697
0,491
0,412
1,546
0,429
0,687
0,522
0,517
0,540
0,412
0,492
1,426
0,612
0,426
0,578
0,561
0,588
0,752
0,731
0,735
0,417
0,575
0,416
0,603
0,554
0,666
1,529
1,494
0,569
0,687
0,628
1,419
0,581
0,652
1,536
0,774
0,560
0,638
0,697
0,687
0,713
0,559
0,652
0,499
0,754
0,706
0,712
0,664
0,588
0,507
0,537
0,616
0,549
0,610
0,490
0,519
0,692
0,631
0,492
0,570
0,578
1,401
0,591
0,625
0,522
0,610
1,507
0,683
0,667
0,517
0,543
0,582
0,737
1,429
0,686
0,690
1,403
0,727
0,513
1,457
0,651
0,525
0,542
0,719
0,507
0,716
0,666
0,558
0,531
0,580
0,719
0,441
0,481
0,465
0,499
0,725
0,426
0,715
0,431
0,599
0,532
0,799
0,538
0,501
0,684
0,432
0,567
0,463
0,726
0,753
0,510
0,732
0,436
0,664
0,611
0,645
0,518
0,798
0,775
0,691
1,536
1,504
0,793
0,584
0,673
0,781
0,496
0,667
0,705
0,673
0,730
0,582
0,627
0,543
0,618
0,749
0,469
0,614
0,547
1,408
0,629
0,720
0,590
0,575
0,710
1,497
0,672
0,676
1,544
1,418
0,681
0,760
0,535
0,645
0,503
0,497
0,616
0,404
0,600
0,771
0,600
0,780
0,511
0,438
0,524
0,608
1,433
0,705
0,405
1,454
1,442
0,568
0,492
0,780
0,527
0,780
0,487
0,758
0,478
0,520
0,756
0,744
0,472
0,666
0,616
0,428
1,526
0,730
0,710
0,622
0,698
0,717
0,710
0,625
0,610
0,656
0,634
0,588
0,647
0,680
0,644
0,428
0,698
0,728
0,733
0,597
1,438
0,503
0,772
0,559
0,649
0,580
0,483
0,644
0,402
0,610
0,595
1,520
0,789
0,719
0,769
0,566
1,427
0,543
0,689
0,690
0,658
0,760
0,641
0,545
0,410
0,748
0,751
0,717
1,521
1,431
1,446
0,589
0,486
0,435
0,467
1,525
0,749
0,687
0,621
1,496
0,762
0,654
0,612
0,538
0,543
0,573
0,614
0,793
0,700
0,743
0,408
0,707
0,530
0,473
0,768
0,635
1,434
0,583
0,763
0,530
0,401
1,463
0,579
