"default","score"
1,498
0,786
0,624
0,430
0,733
0,618
0,624
0,581
0,672
0,749
0,404
0,495
0,581
0,408
0,652
0,796
0,717
0,442
0,705
0,587
1,475
0,751
0,765
0,794
0,622
0,604
0,652
0,539
0,611
0,723
0,660
1,551
0,687
0,591
0,621
0,616
1,418
1,430
0,608
0,615
0,665
0,796
0,624
0,644
1,619
0,589
0,530
0,433
0,433
0,760
0,566
0,561
0,489
0,746
0,422
0,690
1,415
0,776
0,583
0,685
0,497
0,508
0,543
0,522
0,512
0,422
0,572
0,664
0,739
0,478
0,721
0,696
0,654
0,772
0,703
0,497
0,554
0,448
0,557
1,478
0,732
0,402
0,684
0,553
0,581
0,493
0,425
1,488
0,715
0,722
0,456
0,499
0,598
0,576
1,506
1,402
0,535
0,717
0,780
0,769
0,469
0,799
0,657
0,756
0,705
0,453
0,505
0,795
0,544
0,725
0,770
0,478
0,648
0,656
0,716
0,485
0,475
1,454
0,639
0,420
0,563
0,407
0,636
0,760
0,665
1,404
0,672
0,448
0,595
0,455
0,632
0,631
0,438
0,783
0,565
0,687
0,570
1,476
0,532
0,540
0,630
0,468
0,413
0,505
0,405
0,681
0,632
0,794
0,440
0,671
0,488
0,558
0,480
1,427
0,432
0,664
0,558
0,571
0,494
0,594
0,784
0,400
0,539
0,640
0,670
0,413
0,619
0,720
0,688
0,425
0,630
0,647
0,758
0,528
0,483
0,721
0,597
0,655
0,526
0,510
0,586
0,712
0,652
0,632
0,793
0,740
0,687
1,510
0,519
0,447
0,406
0,548
0,419
0,551
0,776
0,791
0,570
0,777
0,697
0,553
0,711
0,782
0,402
0,502
0,775
0,611
0,526
0,611
0,617
0,644
0,449
0,608
0,774
0,715
0,532
0,572
0,626
0,517
0,672
1,469
0,640
0,659
0,700
0,617
0,424
1,452
0,784
1,431
0,632
0,698
0,670
0,630
0,408
1,447
0,405
0,599
0,784
0,574
1,444
0,549
1,664
0,698
0,690
0,550
0,670
0,489
0,417
0,767
0,711
0,791
0,648
0,597
0,653
0,465
1,483
0,558
1,404
0,462
0,540
0,539
0,444
0,559
0,607
0,494
0,450
0,763
1,450
0,660
0,478
0,626
0,687
0,415
0,707
0,747
0,635
0,698
0,763
1,565
1,480
0,566
0,539
0,483
0,465
0,461
0,596
0,519
0,530
1,437
1,531
0,655
0,543
0,529
0,663
0,530
0,593
0,793
0,473
0,425
0,630
0,574
0,627
0,565
0,769
0,567
0,729
0,461
0,717
0,513
1,490
0,637
0,572
0,727
0,554
0,744
0,657
0,482
0,445
0,777
0,763
0,640
0,532
0,727
0,594
0,478
0,583
0,749
0,573
1,465
0,716
0,537
1,443
0,430
0,552
0,733
0,657
0,508
0,518
1,443
0,556
0,607
0,511
0,680
1,438
0,730
0,734
0,753
0,552
1,432
0,401
0,784
0,566
0,474
0,727
0,596
0,456
0,756
0,623
0,573
0,598
0,674
0,781
0,560
0,652
0,556
0,421
0,432
0,800
1,514
0,772
0,696
0,716
0,556
0,632
0,555
0,729
1,471
0,593
0,634
0,518
0,720
0,633
0,632
0,615
0,727
0,570
0,658
0,799
1,517
0,746
0,689
0,742
0,715
0,525
1,403
0,771
1,428
0,741
0,574
0,702
0,624
0,620
0,780
0,467
