"default","score"
1,477
0,733
0,704
1,501
0,740
0,680
0,497
0,479
0,732
0,576
0,520
0,507
0,476
1,762
0,691
0,418
0,745
0,789
0,791
0,612
0,511
1,400
0,731
0,626
0,790
0,664
0,432
0,619
0,503
0,702
0,416
0,527
0,478
0,699
0,741
1,416
0,787
0,757
1,481
0,742
0,604
0,463
0,487
0,693
0,795
0,604
0,591
0,518
0,535
0,690
0,523
0,759
0,531
0,697
0,673
0,600
0,630
0,734
0,576
0,523
0,701
0,687
0,557
0,727
0,576
0,443
0,659
0,748
0,537
0,490
0,675
0,785
0,431
0,796
0,493
0,678
0,516
0,450
0,676
0,640
0,628
0,574
0,788
0,608
1,470
0,475
0,791
0,604
0,790
1,411
0,460
0,692
0,458
0,508
0,404
0,710
0,576
0,775
0,642
0,632
0,697
0,552
0,536
0,704
0,635
0,625
1,442
0,466
0,568
0,657
0,755
0,432
1,531
0,590
0,639
0,740
0,649
0,755
0,558
0,663
0,636
0,560
0,686
0,722
1,409
0,633
0,609
0,454
1,514
0,762
0,748
0,733
0,668
0,691
0,537
0,753
0,649
0,652
0,730
0,753
0,771
0,689
0,716
0,721
0,463
0,799
0,718
1,405
0,610
1,458
0,516
0,493
0,752
0,553
0,610
0,572
0,667
0,598
0,604
0,748
0,726
0,595
0,709
0,532
1,568
0,794
0,521
0,702
0,408
0,700
1,434
0,528
0,608
0,629
0,720
1,450
0,432
0,518
1,406
0,496
0,444
0,687
0,435
0,576
0,612
0,659
0,628
0,686
0,627
0,721
0,439
1,405
0,724
1,495
0,703
0,717
0,651
0,508
0,478
0,498
0,566
0,533
0,714
0,633
0,721
0,799
0,629
0,563
0,490
0,478
0,625
0,561
0,491
1,543
0,775
0,725
0,557
0,505
0,524
1,406
0,711
0,646
0,735
0,744
0,720
0,749
0,579
0,436
0,750
0,532
0,422
0,479
0,485
0,574
0,538
0,679
0,527
1,488
0,652
0,706
0,547
0,476
0,612
0,778
0,642
0,563
0,448
0,549
0,499
0,687
0,735
0,489
0,557
0,608
0,645
0,681
0,502
0,432
0,777
1,432
0,692
0,699
0,659
0,519
0,724
0,694
0,618
0,564
0,717
0,781
0,602
0,416
0,459
0,633
0,446
0,651
0,686
1,471
0,594
0,752
0,561
0,455
1,408
0,575
0,759
0,741
0,751
0,519
0,595
0,740
0,633
0,575
0,542
0,443
0,717
0,702
0,676
0,526
0,571
0,537
0,748
0,704
0,770
0,670
0,597
0,517
0,651
0,486
0,714
0,745
0,447
0,505
0,554
0,456
0,709
0,507
0,687
1,559
0,709
0,655
0,480
0,728
0,609
0,468
0,496
0,422
0,576
1,446
0,799
0,758
0,758
0,597
0,463
0,656
0,473
0,619
