"default","score"
0,664
1,438
0,575
0,559
0,423
0,769
1,507
0,559
0,730
0,540
0,602
0,676
0,721
1,404
0,448
0,417
0,642
1,451
0,663
0,489
0,667
0,559
0,624
0,653
0,563
0,761
1,463
1,457
0,475
0,656
0,591
0,780
0,569
0,658
0,538
0,613
0,533
0,753
0,536
0,518
0,434
0,429
0,542
0,670
0,650
0,628
0,760
0,776
0,607
0,658
1,480
0,756
0,553
0,670
1,455
0,718
0,494
0,617
0,544
0,668
0,575
0,564
1,557
0,610
1,582
0,756
0,463
0,507
0,718
0,794
0,641
0,650
0,625
0,589
1,408
0,448
0,643
0,518
0,593
1,477
0,685
0,593
0,584
0,767
0,407
0,615
0,554
0,556
1,421
0,658
0,761
0,596
0,554
0,689
0,728
0,583
1,460
0,526
0,597
0,441
0,480
0,718
0,431
0,420
0,698
0,584
0,781
0,466
0,613
0,540
0,423
1,507
0,529
1,444
0,707
0,733
0,486
0,560
0,678
0,475
0,470
0,426
0,687
1,416
0,504
0,437
0,789
1,457
0,616
0,430
0,527
1,500
0,797
0,473
0,588
0,607
0,519
0,740
0,422
0,744
0,473
0,790
0,793
0,732
0,518
0,754
0,496
0,723
0,703
0,501
0,458
0,754
1,480
0,454
0,768
0,733
0,646
0,707
0,721
1,437
0,493
0,689
0,737
0,627
0,578
0,729
0,798
0,633
0,609
0,690
0,705
0,742
0,661
1,492
0,583
0,542
0,678
0,449
0,660
0,720
0,460
0,500
1,499
0,697
0,532
0,474
1,449
0,742
0,704
0,616
0,598
0,502
0,701
0,727
0,641
0,444
0,755
0,535
0,566
0,553
0,596
0,630
0,654
1,417
0,694
0,753
0,490
0,707
0,756
0,677
1,470
0,534
1,408
0,688
0,595
1,473
1,444
0,637
1,426
0,477
0,794
0,683
0,753
0,524
0,623
0,719
0,523
0,795
1,439
1,447
0,518
0,614
0,627
0,529
0,572
0,466
0,445
1,526
0,601
0,589
0,795
0,679
0,419
0,453
0,797
0,494
0,665
1,450
0,405
0,751
0,607
0,684
0,729
0,726
0,697
0,632
0,646
0,548
0,701
0,718
1,512
0,544
0,630
0,536
0,718
0,444
0,656
0,776
0,672
1,566
0,467
0,458
0,699
0,712
0,674
0,710
0,717
1,426
0,415
0,766
1,415
0,474
1,553
0,753
0,480
0,642
1,407
0,426
1,416
0,568
0,520
1,451
0,712
1,532
1,426
1,493
0,689
0,424
0,762
0,786
0,767
1,453
0,584
0,425
0,755
0,516
0,753
0,444
1,472
0,700
1,410
0,702
0,786
0,741
0,770
0,714
0,504
0,666
1,510
0,651
0,475
0,629
0,469
0,628
0,744
0,587
0,582
0,618
1,620
0,560
0,685
0,587
0,547
0,467
0,516
0,436
0,537
0,512
0,491
0,680
0,717
0,755
0,563
0,490
0,548
0,461
1,429
0,717
0,583
0,740
0,639
0,636
0,668
0,423
0,737
0,558
0,729
0,424
0,669
0,691
0,628
0,501
0,611
0,570
0,714
0,451
0,763
1,405
0,776
0,770
0,788
0,690
0,700
0,767
0,765
0,793
0,510
0,501
0,786
0,800
0,409
1,415
0,700
0,718
0,744
0,754
0,724
0,457
0,772
0,490
0,557
0,688
0,565
0,742
0,496
0,492
0,649
0,610
0,539
0,527
0,585
1,403
0,443
0,535
0,445
0,564
0,552
1,424
1,420
0,454
0,563
0,693
0,708
0,650
1,492
0,450
0,515
0,657
0,610
0,659
0,674
1,471
0,639
0,680
1,411
0,590
0,656
0,484
0,632
0,568
0,790
0,785
0,436
0,574
0,514
0,692
0,745
0,512
0,689
0,673
1,553
0,445
0,534
0,702
0,792
0,540
1,407
0,526
0,506
1,449
0,591
0,446
1,524
1,476
0,777
0,773
0,607
1,411
0,592
0,432
0,416
0,499
0,722
0,561
0,441
0,474
1,431
0,706
0,534
0,430
0,648
0,615
0,701
0,431
0,694
0,510
0,477
0,484
0,573
0,568
0,428
0,541
0,415
0,586
0,615
0,417
0,722
0,725
0,772
0,593
0,597
0,753
0,634
0,521
0,444
0,406
1,456
0,510
0,677
0,700
1,420
0,748
0,660
0,587
0,761
0,636
0,685
0,568
0,457
0,408
0,537
0,496
0,755
0,491
0,475
0,563
0,593
1,403
0,741
0,780
0,489
0,766
0,787
0,777
0,743
0,775
0,766
0,532
0,531
0,620
0,565
0,585
0,712
0,496
1,429
0,587
0,781
0,522
0,657
0,585
0,683
0,484
0,723
0,742
0,616
0,503
1,522
0,569
0,777
0,627
0,468
0,532
0,418
0,675
0,771
0,759
0,569
0,498
0,508
0,464
0,645
0,706
0,449
0,637
0,493
0,790
0,436
0,589
0,775
1,526
0,602
0,666
0,763
0,629
0,747
0,766
0,752
0,674
0,767
0,618
0,518
0,733
0,570
0,564
0,489
0,663
0,563
0,572
0,771
0,782
0,475
0,471
0,405
0,769
0,735
0,507
1,493
0,614
0,662
0,542
0,565
1,545
0,494
0,562
0,752
0,518
0,495
0,554
0,756
0,665
0,590
0,613
0,620
0,782
0,520
0,756
0,563
1,480
0,592
0,734
0,731
0,594
0,605
0,691
0,429
0,515
1,477
0,560
0,703
0,641
0,793
1,565
0,529
0,657
0,471
0,511
0,427
0,691
1,405
0,485
0,432
0,504
0,665
0,561
0,672
0,430
0,699
0,741
0,756
0,667
0,508
0,538
0,569
0,565
0,750
0,517
0,584
0,795
0,775
0,676
1,435
1,439
0,487
0,502
0,572
0,702
1,436
0,731
0,753
0,772
0,737
0,646
0,624
0,684
0,507
0,760
0,708
0,691
0,717
0,732
0,500
0,593
0,634
0,613
0,682
0,613
0,666
0,762
0,684
0,789
1,465
0,500
0,788
0,527
0,791
0,433
0,712
0,516
0,616
0,615
0,734
0,714
0,408
0,798
1,405
0,646
0,664
0,523
0,666
0,663
0,418
0,562
0,544
0,649
0,534
0,452
0,617
0,722
0,460
0,461
0,572
0,726
1,462
0,562
0,689
0,548
0,667
0,458
0,710
0,624
0,607
1,440
1,406
0,601
0,684
0,642
0,619
1,534
0,745
0,702
0,500
1,507
0,611
0,596
0,590
0,704
0,663
0,556
1,406
0,440
0,639
1,410
0,465
0,674
0,723
0,762
0,454
0,774
1,416
0,422
0,721
0,605
0,733
0,781
0,786
0,645
0,620
0,709
0,492
0,738
1,742
0,600
0,498
0,433
0,598
0,678
0,517
0,731
0,427
0,422
0,740
0,534
0,512
0,496
0,607
0,540
0,779
0,620
0,566
0,632
1,539
0,503
0,770
0,691
0,774
1,400
0,476
0,519
0,411
0,450
0,753
0,564
1,433
0,546
1,450
0,640
0,430
0,769
0,732
0,654
0,527
0,436
0,779
0,612
0,416
0,681
0,480
0,724
0,636
1,554
0,531
0,577
0,722
1,437
0,749
0,758
0,605
0,728
0,512
0,732
0,643
1,422
0,438
0,777
0,557
0,642
0,696
0,558
0,705
0,537
0,680
0,533
1,496
0,745
0,583
0,698
0,591
0,439
0,582
0,623
0,490
0,619
0,505
0,491
0,630
0,508
0,475
0,550
0,587
0,786
0,421
0,708
0,628
0,402
0,605
0,769
1,474
0,705
0,452
0,472
0,689
0,567
1,471
0,674
0,541
1,426
0,774
0,495
0,592
0,741
0,453
0,738
0,641
0,685
0,767
0,695
0,542
0,785
0,401
0,543
0,602
1,419
0,632
0,426
0,540
0,666
0,669
0,508
0,614
0,798
0,409
0,438
0,711
0,612
0,492
0,465
0,445
0,605
0,711
0,521
0,655
0,790
0,587
0,620
0,596
0,645
0,641
0,652
0,784
0,523
0,798
0,665
0,789
0,769
0,653
0,731
1,556
0,492
0,481
0,568
0,460
0,755
0,525
1,454
0,503
0,677
0,537
0,561
0,404
0,707
0,509
0,705
0,691
1,485
0,429
0,761
0,637
0,495
0,683
0,533
0,463
0,487
0,770
0,572
0,798
0,681
0,662
0,729
0,784
0,404
0,672
0,495
0,741
0,515
0,537
0,747
0,401
0,466
0,458
0,538
0,785
0,768
0,688
0,462
1,413
1,418
0,612
1,436
0,747
0,461
1,431
0,796
0,524
0,702
0,517
0,767
1,422
0,721
0,718
0,583
0,799
0,443
1,485
0,714
0,578
0,798
0,767
0,745
0,412
0,457
