"default","score"
0,465
0,749
0,652
0,647
0,507
0,590
0,499
0,636
0,711
1,442
0,675
0,616
0,597
0,756
0,526
0,503
0,595
1,467
0,438
0,790
0,700
0,641
1,432
1,485
0,737
0,583
0,596
0,749
0,790
0,495
0,766
0,591
0,505
1,437
0,753
0,608
0,449
0,777
0,683
0,696
0,742
0,752
0,718
0,674
0,671
1,473
0,653
1,437
0,403
0,441
0,616
0,485
0,661
0,680
0,558
1,480
0,793
0,686
0,738
0,585
0,792
1,440
0,623
0,585
0,781
0,646
0,583
0,497
1,412
0,510
0,599
0,560
0,608
0,603
0,432
0,729
0,768
0,711
0,705
0,716
0,680
0,611
0,485
0,409
0,718
0,497
0,599
0,597
0,691
0,469
1,488
0,612
0,769
0,459
0,733
0,565
0,665
0,682
0,594
0,645
0,781
0,792
0,414
1,475
0,557
0,717
0,727
0,564
0,464
0,731
0,573
1,475
0,672
0,624
0,562
1,412
0,689
0,527
0,485
0,769
0,563
0,532
0,462
0,457
0,514
0,635
0,519
0,719
0,600
0,738
0,665
0,436
0,506
0,746
0,682
0,718
0,685
0,645
1,500
0,746
0,435
0,629
0,605
0,616
1,457
0,739
0,575
1,411
0,634
0,448
1,431
0,800
0,472
0,706
0,643
0,630
0,469
0,450
0,441
0,431
1,475
0,670
0,511
0,725
0,435
0,624
0,511
0,769
0,786
0,721
0,523
0,727
0,697
0,752
0,405
0,538
0,735
0,522
0,796
1,415
0,404
1,466
0,457
0,630
0,752
0,568
0,654
0,472
1,455
0,735
0,491
0,627
0,506
0,478
0,662
1,459
0,765
0,731
0,749
0,538
0,457
0,475
1,530
0,502
0,743
0,623
0,581
0,560
0,597
0,764
0,694
0,638
0,417
0,709
0,768
0,517
0,706
0,701
0,753
0,583
0,522
0,502
0,636
0,403
1,515
0,596
0,581
0,594
0,601
0,600
1,406
0,728
0,640
0,721
0,723
0,780
0,655
0,664
0,748
0,767
0,530
0,557
1,485
0,779
0,586
1,551
0,496
0,714
0,652
0,725
0,771
1,441
0,733
0,544
0,784
0,565
0,781
0,778
0,713
0,431
0,550
0,717
0,678
0,738
1,466
0,557
0,533
0,555
0,590
0,460
0,647
0,729
0,548
0,482
0,697
0,618
0,467
0,456
1,408
0,415
0,747
0,676
0,671
0,583
1,439
0,725
0,755
0,655
0,633
0,720
0,454
0,744
0,646
1,475
0,653
0,594
0,491
0,560
0,613
0,449
1,461
0,690
1,440
0,586
0,713
1,506
0,742
0,454
0,649
0,653
0,614
0,525
0,798
0,794
0,650
0,745
0,581
0,510
0,585
0,761
0,749
0,794
0,660
0,762
0,669
0,475
0,483
0,612
0,534
0,534
1,507
0,731
0,678
0,411
0,550
0,566
1,438
0,477
0,721
0,753
0,633
0,775
0,591
0,788
0,551
0,420
0,511
0,609
0,589
0,435
0,678
0,587
0,529
0,688
0,480
0,733
0,705
0,491
1,431
0,719
0,795
1,417
0,528
0,723
0,657
1,501
0,599
0,656
0,700
0,607
0,614
0,467
0,441
0,666
0,589
0,454
0,704
0,701
0,616
0,626
0,478
0,498
0,654
0,694
0,496
0,587
0,792
0,500
0,741
1,462
0,493
1,444
0,406
0,741
1,478
0,441
0,437
0,579
0,610
1,475
0,731
0,532
0,471
0,645
0,498
0,638
0,444
1,416
0,686
0,489
0,743
0,542
1,536
0,706
0,426
0,775
1,568
0,709
0,790
0,437
0,624
0,441
0,714
0,771
0,502
1,448
0,711
0,775
0,574
0,641
0,552
0,686
0,779
0,708
0,572
1,417
0,780
0,702
0,505
0,453
0,594
0,712
0,468
0,448
0,589
0,787
0,573
0,427
0,551
0,791
0,506
0,651
0,544
0,697
0,732
0,625
0,683
0,686
0,604
0,666
0,503
0,463
0,646
0,792
0,549
0,603
0,508
0,477
0,783
0,747
0,751
0,602
1,419
0,771
0,739
0,592
0,694
0,435
0,583
0,486
0,735
0,529
0,695
0,630
0,753
0,481
1,410
0,676
0,436
1,441
0,688
0,688
0,554
0,620
0,718
1,455
0,584
0,713
0,444
0,605
0,682
0,646
0,773
0,572
0,541
0,739
0,592
0,436
0,607
0,641
0,570
0,452
0,605
0,703
0,524
0,772
1,452
0,538
0,694
0,565
0,547
0,715
0,695
0,701
0,555
0,475
0,628
0,713
0,431
1,416
0,699
1,545
0,742
0,791
0,596
0,666
0,516
1,458
0,497
0,751
0,549
1,400
1,504
0,713
0,670
0,731
0,567
0,549
0,716
0,715
0,490
0,767
0,629
1,405
0,659
0,735
0,461
1,441
0,713
0,475
0,444
0,728
1,516
0,591
1,538
0,644
0,572
0,508
0,567
0,655
0,656
0,452
0,454
0,551
1,493
0,557
0,768
0,451
0,703
0,715
0,488
0,427
0,585
0,775
0,616
0,459
0,635
0,767
0,629
0,501
0,426
0,674
1,408
0,791
0,554
0,775
0,657
0,599
1,500
1,472
1,548
0,555
0,619
0,669
0,652
0,638
0,483
0,403
0,732
0,529
0,747
0,789
0,575
0,415
0,765
0,454
0,611
0,727
0,473
0,610
0,515
0,647
0,690
0,446
0,668
0,727
0,755
0,720
0,722
0,455
0,764
0,586
1,456
0,509
0,452
0,434
0,605
0,599
0,510
1,425
0,777
0,665
0,695
0,503
0,609
0,472
0,692
0,475
0,445
0,772
0,669
0,713
0,765
0,553
0,442
0,791
0,720
0,685
0,613
0,414
0,756
0,525
0,662
0,463
0,663
0,716
0,604
0,501
1,445
0,654
0,738
1,525
1,520
0,549
0,449
0,721
0,502
0,442
0,737
0,648
0,458
0,694
1,530
0,574
1,425
0,482
0,724
0,443
0,733
0,773
0,660
0,704
0,537
0,761
0,417
0,584
0,595
0,729
1,454
0,491
0,652
0,606
0,645
1,412
1,418
0,771
0,736
0,798
0,691
1,417
0,638
0,798
0,746
0,750
0,596
0,490
1,485
0,572
0,741
0,546
0,728
0,620
1,418
0,789
0,753
0,772
0,442
0,722
0,708
0,762
0,727
1,445
0,787
0,551
0,578
0,569
1,401
0,799
0,740
0,463
0,553
0,794
0,593
0,412
0,741
0,514
0,755
0,701
1,400
0,503
0,645
0,533
0,678
0,754
0,582
0,799
0,792
0,777
0,532
0,417
0,751
0,659
0,540
0,655
0,758
0,573
1,503
0,430
0,491
0,510
0,628
0,501
0,603
0,758
0,618
0,745
0,560
0,792
0,674
0,544
0,568
0,490
0,578
0,763
0,800
0,527
1,419
0,563
0,501
1,454
0,730
0,465
0,431
0,643
0,473
1,478
0,786
0,665
0,713
1,438
0,447
0,444
1,479
0,750
0,759
0,621
0,571
0,568
0,422
0,692
1,507
0,568
0,457
0,655
0,713
0,468
0,746
0,613
0,484
0,517
0,596
0,601
1,688
0,529
1,473
0,464
0,588
0,597
0,523
0,545
0,643
0,565
0,604
0,692
0,795
0,761
0,571
0,703
0,758
0,530
0,678
0,616
0,610
0,499
0,630
0,671
0,636
0,714
0,609
0,715
1,432
0,599
0,573
1,492
0,731
1,467
0,445
0,563
0,481
0,586
0,624
0,561
0,700
0,690
0,609
0,472
0,688
0,543
0,566
0,592
1,501
0,634
0,486
0,535
0,725
0,627
0,601
0,407
0,780
0,549
0,766
0,688
0,594
0,717
0,598
0,712
0,543
0,567
0,628
0,543
0,689
0,644
0,427
0,765
0,687
0,696
0,792
0,528
0,537
0,502
0,798
0,519
0,673
0,742
0,705
0,652
0,778
1,415
0,769
0,674
0,578
0,797
0,583
1,418
0,711
0,659
1,441
0,488
1,501
0,562
0,664
0,513
0,751
0,568
0,577
0,526
0,582
0,594
0,413
0,793
0,527
0,675
0,772
0,678
0,729
0,799
0,666
0,445
0,514
0,613
0,494
0,642
0,489
0,746
0,476
0,717
0,794
0,488
0,615
0,777
0,486
0,777
0,507
0,740
0,775
1,524
0,626
0,760
0,586
0,733
0,779
0,527
0,445
0,794
0,554
0,715
0,596
0,435
1,408
0,565
0,699
0,421
0,657
0,458
0,790
0,443
0,777
0,700
0,542
1,428
0,750
0,439
0,544
0,472
0,647
0,410
0,744
0,770
0,623
0,494
0,577
0,719
0,765
0,671
0,557
0,777
0,534
0,437
1,475
0,529
