"default","score"
0,567
0,671
0,441
0,533
0,597
0,550
0,693
0,610
0,574
0,458
0,448
0,785
1,515
0,792
0,581
0,545
0,624
0,501
0,586
0,442
0,740
0,602
0,502
0,570
1,473
0,757
0,501
0,564
0,640
0,738
0,630
0,646
1,430
0,617
0,487
0,573
0,499
0,630
0,483
0,770
0,573
0,647
0,471
0,668
0,547
0,751
0,616
0,535
0,426
0,605
0,596
0,615
0,693
0,766
0,606
0,495
0,746
1,500
0,718
1,544
0,549
0,672
0,476
0,708
0,502
0,647
0,687
0,791
1,462
0,557
0,485
0,723
0,642
0,555
0,565
0,458
0,561
0,710
0,761
1,421
1,457
0,599
1,410
0,660
1,526
0,784
0,719
0,593
0,606
0,551
0,619
0,644
0,794
0,654
0,726
0,556
0,626
0,556
0,585
0,501
0,556
0,648
0,495
1,550
0,646
0,782
0,772
1,436
0,614
0,762
0,602
1,572
0,793
0,780
0,492
0,554
0,796
0,711
0,668
0,779
1,416
0,674
0,407
0,613
1,415
0,625
0,560
0,566
0,593
0,692
0,528
0,636
0,486
0,526
1,421
0,777
0,729
0,645
0,681
0,664
0,517
0,659
0,630
0,755
0,474
0,480
0,713
0,490
0,624
0,656
0,441
0,607
1,412
0,757
0,644
1,447
0,473
0,566
1,419
0,538
0,795
0,515
0,580
1,424
0,565
1,503
0,543
1,410
0,499
0,656
0,689
0,528
0,719
0,715
0,740
0,561
0,669
0,572
0,762
0,570
0,760
0,606
0,640
0,534
0,644
0,531
0,659
0,598
0,466
0,632
0,691
0,750
0,604
0,652
0,503
0,704
0,555
0,669
0,554
0,745
0,734
0,595
0,538
0,497
0,439
1,429
0,761
1,502
0,565
0,438
1,426
0,741
0,543
0,659
0,561
0,727
0,492
0,471
0,455
0,617
0,626
0,511
0,768
0,502
0,660
0,579
0,633
0,568
0,474
0,768
0,446
0,768
0,790
0,765
0,551
0,705
0,493
0,558
1,538
0,584
0,756
0,794
0,778
0,696
0,703
0,482
0,762
0,784
1,621
0,582
0,625
0,493
0,471
0,799
0,716
0,715
0,732
0,567
0,421
0,650
0,764
0,633
0,498
0,697
0,548
0,483
0,575
0,793
0,662
0,609
0,686
0,512
0,407
0,688
0,623
0,488
0,636
0,791
0,578
0,615
0,613
0,628
0,641
0,598
1,450
1,441
0,707
0,716
0,755
0,612
0,651
0,500
0,607
0,456
0,704
0,665
0,438
0,667
0,519
1,403
0,564
0,601
0,550
0,431
0,596
0,634
0,607
0,491
0,583
0,490
0,496
0,603
0,769
0,797
0,598
0,420
0,571
0,698
0,647
1,465
0,488
0,608
0,685
1,410
0,657
0,605
0,647
0,538
0,541
0,488
0,631
1,489
0,799
0,469
1,441
1,405
0,468
0,532
0,405
0,563
0,681
0,653
0,591
0,718
0,682
0,701
0,563
0,553
1,482
0,728
0,426
1,445
0,713
1,454
0,733
0,467
0,578
1,506
0,436
0,402
0,562
0,773
0,670
0,429
0,683
0,540
0,780
1,486
0,627
0,602
0,462
0,757
1,462
0,561
0,454
0,604
0,554
1,403
0,759
0,629
0,514
0,494
0,704
0,604
0,678
0,516
0,789
0,585
0,787
0,625
0,717
0,738
0,446
0,486
0,580
0,606
1,445
1,457
1,512
0,649
0,756
0,492
0,605
0,661
1,463
0,460
0,776
0,624
0,773
0,644
0,541
0,533
0,496
0,589
0,469
0,449
1,415
0,646
0,610
1,511
0,414
0,470
0,561
0,522
0,598
0,488
0,613
0,472
0,614
0,711
0,786
0,623
0,559
0,627
0,771
0,605
0,523
0,742
0,455
1,588
0,544
0,571
1,438
1,513
0,666
0,733
0,653
1,493
0,412
0,559
0,408
0,722
1,486
0,483
0,797
0,575
0,667
0,669
0,698
0,673
0,563
0,649
1,412
0,666
0,570
0,443
0,417
0,726
1,412
0,648
0,443
0,607
0,622
0,677
0,448
0,790
0,695
0,680
0,633
0,791
0,655
0,722
0,727
0,688
0,593
0,628
0,688
0,700
0,575
0,490
0,634
0,455
1,455
0,563
0,503
0,497
0,693
0,564
0,788
0,638
0,619
0,568
0,650
0,536
0,710
0,766
0,754
0,600
0,772
0,603
0,611
0,647
0,401
0,561
0,743
0,718
0,547
1,532
0,460
0,760
0,522
0,795
0,787
1,559
0,679
0,678
0,584
0,637
0,480
0,695
0,736
0,526
0,583
0,613
0,768
0,552
0,492
1,407
0,771
0,723
0,542
0,540
0,512
0,488
0,726
0,671
0,477
0,436
0,783
0,694
0,613
0,745
0,484
0,739
1,428
1,408
0,561
0,528
0,556
0,738
0,697
0,795
0,546
0,760
0,534
0,525
0,588
0,736
0,572
0,662
0,680
0,614
0,625
0,621
0,703
0,606
0,606
1,496
0,595
0,616
0,612
0,675
0,769
0,574
0,672
0,573
0,454
0,691
0,434
0,795
0,434
0,712
0,776
0,627
0,409
0,694
0,569
0,526
0,502
0,515
0,404
0,785
0,655
0,643
0,586
0,498
1,410
0,627
0,420
0,600
0,475
0,455
0,607
0,455
0,569
0,408
0,595
0,697
0,706
0,593
0,515
0,531
0,497
0,608
0,685
0,525
0,731
0,704
0,658
0,779
0,655
0,718
0,510
0,750
0,743
0,496
0,405
0,652
0,715
0,655
0,688
0,489
0,570
0,583
0,642
0,671
1,507
0,778
0,701
0,690
0,644
0,633
0,580
0,523
0,606
0,537
0,496
0,559
0,486
0,412
0,740
0,754
0,679
0,586
0,415
0,519
0,708
0,443
0,733
0,762
0,555
0,768
1,446
0,580
1,457
0,598
0,598
0,731
0,523
0,704
0,531
0,422
0,505
0,742
0,546
0,664
0,510
0,568
0,738
1,414
0,516
0,520
0,760
0,608
0,476
1,417
0,475
0,664
0,589
1,452
0,643
0,430
0,539
0,717
0,589
0,640
1,430
0,569
0,546
0,634
0,717
0,521
0,546
0,592
1,436
0,493
0,788
0,488
0,787
0,667
0,625
0,497
1,446
0,755
0,676
0,431
0,421
1,407
0,506
0,483
0,654
1,485
0,558
0,587
0,618
0,625
0,563
1,492
0,731
0,482
0,704
0,544
0,460
1,470
0,732
0,590
0,686
1,430
0,710
0,785
1,504
0,618
0,634
0,456
0,576
0,716
0,782
0,679
0,478
0,650
0,507
0,636
0,514
0,552
0,649
0,435
1,430
0,593
0,564
0,723
0,423
0,707
0,760
0,733
1,492
0,530
1,431
0,611
1,559
0,708
0,512
0,402
0,796
0,660
0,599
0,482
0,572
0,706
0,544
0,583
0,736
0,637
0,595
0,525
1,426
0,760
0,628
0,659
0,496
0,660
0,672
0,776
0,633
0,491
0,558
0,536
0,669
1,504
0,785
0,778
0,449
0,632
0,566
0,583
1,419
1,429
1,423
0,418
0,630
1,447
0,461
0,546
1,433
0,480
0,783
0,781
0,517
0,793
1,508
0,793
0,622
0,518
0,524
0,555
0,751
0,585
0,707
0,767
0,570
0,627
0,720
0,457
0,424
0,527
0,746
0,455
0,744
0,780
0,530
0,741
0,501
0,713
0,493
0,578
0,719
0,433
0,603
0,613
0,516
0,544
0,721
0,578
1,577
0,692
1,404
0,429
0,477
0,684
0,533
0,659
0,705
1,562
0,445
0,635
0,503
0,483
0,507
0,636
0,506
0,555
0,573
0,510
0,784
0,634
0,743
1,449
1,551
0,703
0,509
0,691
0,701
0,788
0,409
0,756
0,647
1,451
0,792
0,681
0,759
0,588
0,775
0,676
1,420
0,445
0,771
0,714
0,568
0,637
0,717
0,652
0,483
0,684
0,755
0,632
0,500
0,691
0,724
0,546
0,497
0,704
0,448
0,547
0,612
0,641
0,544
1,449
1,419
0,421
0,719
0,548
0,692
0,721
0,560
0,426
1,450
0,509
0,785
0,544
0,530
0,795
0,554
0,572
0,514
0,711
0,565
0,486
0,499
0,773
1,556
0,507
0,573
0,772
0,509
0,740
0,447
0,414
0,468
0,785
0,772
0,724
0,702
0,463
0,764
0,719
0,439
0,703
1,483
0,435
0,739
0,565
0,573
1,506
0,684
0,659
0,765
0,677
1,485
0,565
0,660
0,684
0,456
0,509
0,515
1,403
0,496
0,681
0,784
1,427
0,512
0,734
0,424
0,715
0,581
1,649
0,444
0,498
1,412
1,413
0,767
0,734
