"default","score"
0,460
1,447
0,511
0,608
0,617
1,487
0,460
0,754
0,439
0,752
0,764
0,623
0,720
0,404
0,791
0,660
0,488
0,668
0,584
0,671
0,727
0,791
0,664
0,451
0,694
0,702
0,745
0,611
1,432
0,561
0,640
0,693
0,793
0,623
0,629
0,455
0,531
0,764
0,696
0,711
0,793
0,698
0,476
0,440
0,617
0,740
0,543
0,797
0,741
0,652
0,573
0,782
0,741
0,631
0,454
0,424
0,694
0,515
0,417
0,647
1,513
0,607
0,670
0,766
1,446
0,733
0,701
0,726
0,619
0,640
0,793
0,724
0,695
0,524
0,792
0,625
0,401
0,761
1,459
0,688
0,716
0,449
1,426
0,757
1,424
0,726
0,604
0,402
1,508
0,661
0,647
0,534
0,783
0,524
0,738
0,473
0,579
0,791
0,476
0,653
0,701
1,413
0,582
0,743
0,732
0,798
1,474
0,656
0,605
0,716
0,522
0,661
1,501
0,503
0,445
0,746
0,674
1,536
0,577
0,640
0,568
0,572
1,444
0,620
0,741
0,737
0,783
0,695
0,673
0,494
0,499
0,772
0,532
0,485
0,456
0,427
0,774
0,740
0,779
0,661
0,503
0,455
0,653
0,654
0,664
0,782
0,615
0,511
0,658
0,648
0,767
0,651
0,676
0,567
0,708
0,779
0,740
0,569
0,652
0,520
0,525
0,583
0,670
0,554
0,662
0,405
1,439
0,795
0,508
0,686
0,667
0,533
0,570
0,485
0,429
0,532
0,584
0,485
0,638
0,521
0,682
0,590
0,570
0,434
0,539
0,768
1,433
0,670
0,794
0,675
0,732
0,518
0,667
0,626
0,521
0,689
0,618
0,769
0,681
0,585
0,629
1,429
0,476
0,576
0,686
0,732
0,586
0,630
1,618
0,734
0,734
0,452
0,432
0,581
0,555
0,579
1,447
0,796
0,729
0,714
0,586
0,597
0,537
0,494
0,769
0,527
0,636
0,420
0,651
0,650
0,529
0,759
1,409
0,407
0,525
0,614
0,697
0,591
0,608
0,698
0,484
0,761
0,729
0,679
0,541
0,752
0,499
0,686
1,550
0,769
0,726
0,461
0,692
0,470
0,743
0,679
0,602
0,604
0,487
0,720
0,776
1,452
0,474
0,475
0,726
0,684
0,714
0,633
0,789
0,577
0,587
0,601
0,746
0,709
0,468
0,434
0,654
0,609
0,521
0,470
0,607
0,478
0,472
1,497
0,587
0,682
0,711
0,727
0,484
0,684
1,472
0,498
0,607
0,638
0,422
0,710
0,520
0,671
1,468
0,434
0,634
0,695
0,546
0,589
0,443
0,541
0,460
0,554
0,723
0,581
0,456
0,651
0,638
0,738
0,620
0,566
0,638
0,636
0,623
0,792
0,634
0,490
0,601
0,780
0,479
0,682
0,577
0,498
0,600
0,550
0,552
0,514
0,586
0,420
0,472
0,496
0,526
0,479
0,448
0,482
0,582
0,437
0,564
0,735
1,450
0,582
0,556
0,722
0,617
0,404
1,411
0,436
1,499
0,580
0,674
0,572
1,505
0,770
1,435
0,695
0,592
0,513
0,708
0,631
0,478
0,555
0,773
0,459
0,590
0,700
0,763
0,563
0,551
0,495
0,566
1,429
0,440
0,786
0,718
0,634
1,472
0,716
0,642
1,492
0,717
0,703
0,684
0,657
1,460
0,625
0,697
0,591
0,595
0,541
0,680
0,725
0,754
0,510
0,695
0,491
0,466
0,755
0,741
0,703
0,718
1,445
0,435
0,424
0,796
0,734
0,594
0,569
0,601
0,595
0,580
1,592
0,609
0,673
0,783
0,656
0,787
0,743
0,498
0,539
0,730
0,726
0,763
