"default","score"
0,566
0,676
0,490
1,421
0,782
0,406
0,799
0,733
0,719
0,611
0,622
0,625
0,424
0,520
0,525
0,409
0,554
0,681
0,645
0,699
0,639
0,723
0,527
0,704
0,491
0,654
0,659
0,678
1,422
0,599
0,515
0,550
0,770
0,732
0,449
0,410
0,762
0,731
0,790
1,402
1,452
0,672
0,593
0,588
0,654
0,497
0,481
0,591
0,555
0,591
0,433
0,467
1,407
0,495
0,763
0,692
0,632
1,577
0,499
0,652
0,651
0,639
0,673
0,423
0,621
0,711
0,719
0,526
0,500
0,621
0,405
0,519
0,422
0,549
0,633
0,454
1,523
0,573
0,400
1,624
0,576
0,495
0,510
0,474
1,521
0,519
0,481
0,757
0,465
0,567
0,746
0,739
0,492
0,631
0,560
0,755
0,566
0,542
0,760
0,697
0,644
1,416
0,788
0,785
0,677
0,417
0,459
1,521
0,456
0,493
0,729
0,432
0,465
0,573
0,490
0,630
0,583
0,553
0,577
0,414
0,495
0,674
0,451
0,777
0,535
0,438
0,547
0,507
0,619
0,600
0,493
0,467
0,511
1,492
0,585
0,687
0,658
0,525
1,419
0,660
0,715
0,590
0,417
0,674
0,709
0,793
1,527
0,775
0,735
0,761
0,497
0,656
0,486
0,778
0,443
0,722
0,638
0,532
0,746
0,717
0,655
0,554
0,799
0,598
0,484
0,642
0,533
0,750
0,595
0,728
1,445
0,656
0,755
0,503
0,628
0,620
0,659
0,778
0,629
0,497
0,520
0,518
0,497
0,468
1,488
0,698
0,726
1,401
1,511
0,440
0,589
0,551
0,757
0,512
1,427
0,486
0,682
0,427
0,618
0,648
0,588
0,761
0,617
0,684
0,676
0,660
0,465
0,781
0,697
0,617
0,677
0,620
1,497
0,681
0,504
0,786
0,712
0,540
0,760
0,797
0,723
0,681
0,735
0,643
0,654
0,656
0,785
0,785
0,432
0,782
0,461
0,684
0,490
0,797
0,727
0,693
0,778
0,687
0,447
0,526
0,598
0,781
0,667
0,464
0,769
0,709
0,639
1,404
0,662
0,728
0,518
0,455
0,632
1,448
0,716
0,446
1,426
1,421
0,558
0,443
0,733
0,618
0,703
0,620
0,789
0,489
0,662
0,623
0,489
0,551
0,682
0,604
0,730
0,657
0,539
0,633
0,623
0,512
0,561
0,663
0,580
0,576
0,640
0,631
1,469
0,756
0,718
1,525
0,401
0,613
0,597
0,415
0,558
0,414
0,513
1,416
0,690
0,661
0,773
0,578
0,659
0,400
0,629
0,512
0,693
0,578
0,455
0,796
0,765
0,537
0,419
1,402
0,658
1,402
0,735
0,528
0,679
0,602
0,634
0,759
0,531
0,640
1,464
0,476
0,578
0,524
0,732
0,764
0,768
0,613
0,646
0,557
0,579
0,735
0,632
0,555
0,548
0,672
1,456
0,752
1,431
0,726
0,648
0,710
0,782
0,443
0,759
0,616
0,586
0,691
0,772
0,417
1,412
0,514
1,417
0,597
0,456
0,710
0,688
0,713
0,762
0,593
0,685
1,450
1,438
0,506
0,705
0,540
0,615
0,451
0,421
0,567
0,639
0,581
0,645
0,720
0,680
1,517
0,732
0,652
0,598
1,411
0,694
0,724
0,552
1,440
0,611
0,431
0,754
0,521
1,467
0,518
0,667
0,743
0,683
0,626
0,486
1,412
0,481
0,447
0,552
0,459
1,423
0,497
0,613
0,700
0,701
0,590
0,776
0,547
0,461
0,614
0,781
1,429
0,495
0,755
0,482
0,541
0,720
0,720
0,583
0,552
0,544
0,598
0,716
0,516
0,586
0,768
0,736
0,679
0,500
0,498
0,779
0,414
0,548
0,477
0,583
0,708
1,602
0,557
0,489
0,718
0,628
0,468
0,735
0,504
0,568
0,787
0,511
0,625
0,535
0,419
0,492
0,595
0,439
0,549
0,704
0,531
0,632
0,487
0,642
0,638
0,528
0,786
0,540
0,581
0,432
0,421
0,628
0,470
0,716
0,568
0,737
0,559
0,498
1,523
0,770
0,526
0,577
0,735
0,520
1,432
0,508
0,620
0,645
0,672
0,587
1,606
0,431
0,650
0,619
0,598
0,566
0,633
0,471
0,536
0,763
0,554
0,573
0,638
0,630
0,742
0,561
0,493
0,481
0,490
0,764
0,472
0,588
0,736
0,511
0,696
0,690
0,699
0,522
0,599
0,788
0,436
0,495
0,684
0,665
0,710
0,543
0,669
0,760
0,438
1,404
0,513
0,791
0,795
0,663
0,603
0,687
0,563
1,475
0,518
0,545
0,784
0,561
1,491
0,499
0,594
0,665
0,613
0,488
0,793
0,679
0,607
