"default","score"
0,543
0,611
0,617
0,543
1,439
1,417
0,687
0,551
0,666
0,756
0,733
0,565
0,457
0,612
0,567
0,508
0,620
0,446
0,459
0,566
1,571
0,527
0,699
0,557
0,588
0,800
0,681
0,504
0,424
0,463
0,752
0,406
0,751
0,427
0,796
0,793
0,600
0,503
0,524
0,643
0,756
0,497
0,723
0,611
0,587
0,436
0,735
0,726
0,565
0,578
0,690
0,661
0,577
0,626
0,731
0,426
0,706
0,430
0,560
0,507
0,482
0,639
0,756
0,740
1,432
0,661
0,572
0,550
0,784
0,423
0,654
0,760
0,572
0,683
0,791
0,532
0,704
0,647
0,533
0,673
0,762
0,582
0,758
0,707
0,739
1,436
0,749
0,618
0,538
0,530
0,568
0,545
0,415
0,535
1,455
0,522
0,532
0,770
0,711
0,672
1,444
0,626
0,691
0,466
1,518
0,775
0,623
0,777
0,449
0,415
0,755
0,599
0,653
1,487
0,674
0,433
0,492
0,788
0,602
0,519
1,499
1,496
0,576
0,677
0,559
0,507
0,467
0,428
0,644
0,450
0,505
0,454
0,498
0,505
0,489
0,719
0,782
0,582
0,699
0,584
0,754
0,409
0,478
0,578
0,460
0,586
0,701
0,705
0,651
0,459
0,636
1,406
0,629
0,419
0,703
0,605
0,794
1,502
0,658
0,533
0,755
0,750
0,758
0,437
0,465
0,596
1,451
0,654
0,711
0,785
0,704
0,765
0,772
1,477
0,567
0,706
0,773
1,488
0,528
0,577
0,733
0,480
0,576
0,480
0,464
0,463
0,715
0,508
0,646
0,574
0,759
0,445
0,484
0,729
0,519
0,758
0,762
0,694
0,657
0,649
0,437
0,620
0,706
0,786
0,614
0,607
0,406
0,533
0,522
0,759
0,629
0,746
0,550
0,682
0,709
0,709
0,713
0,470
1,487
0,677
0,446
0,778
0,586
0,679
0,675
0,480
0,665
0,755
0,450
0,591
0,742
0,446
0,740
0,681
0,535
0,721
0,661
0,731
0,569
0,590
0,444
1,406
0,789
0,627
0,499
0,489
0,705
0,420
1,469
0,514
0,487
0,787
0,495
0,675
0,570
0,734
0,503
1,480
0,758
0,523
0,725
0,418
0,648
1,542
1,441
0,662
0,667
0,699
0,780
0,464
0,540
0,622
0,729
0,716
0,751
1,457
0,739
0,733
0,664
0,503
0,747
0,482
0,774
0,799
1,422
0,754
0,488
0,521
0,796
0,473
0,583
0,704
0,784
1,549
0,717
0,438
0,747
0,725
0,474
0,413
0,451
0,758
0,582
1,579
0,798
0,635
0,666
0,752
0,449
1,402
0,471
0,682
0,473
1,498
0,706
0,613
0,404
0,604
1,466
0,590
0,603
0,420
0,719
0,442
0,512
0,697
0,569
0,557
0,600
0,638
0,786
0,443
0,613
0,594
0,594
0,522
0,776
0,792
0,774
0,618
0,643
0,748
0,548
0,490
0,596
1,434
0,521
0,677
0,570
0,795
0,643
0,631
0,449
0,445
0,572
0,779
0,788
0,411
0,574
0,772
0,457
0,680
0,527
0,556
0,642
0,559
0,534
0,597
0,574
0,634
0,649
0,682
1,415
1,467
0,557
0,421
0,653
0,505
0,766
1,443
0,587
0,794
0,771
0,496
0,762
0,620
0,734
0,610
1,581
0,591
0,769
0,556
1,516
0,628
1,417
0,674
0,726
1,518
0,645
0,640
0,749
0,687
0,549
0,753
0,662
0,669
0,686
0,550
0,631
1,630
0,471
0,455
0,569
0,778
0,737
0,519
0,727
1,451
0,782
0,754
0,566
0,632
1,448
0,655
0,726
0,437
1,409
0,674
0,686
1,430
0,558
0,435
0,423
1,437
0,589
0,616
0,721
0,552
0,476
0,545
0,772
0,691
1,473
0,767
0,771
0,643
0,684
0,660
0,622
0,467
0,645
0,610
0,660
0,546
0,714
0,774
0,571
0,577
0,564
0,662
0,548
0,707
0,758
0,609
0,799
0,765
0,763
0,668
0,592
0,721
0,494
0,615
0,585
0,732
0,553
0,482
0,710
0,737
0,733
0,562
0,648
0,799
0,546
0,790
0,430
0,690
1,415
0,642
0,771
0,646
0,569
0,630
0,514
0,770
0,759
0,565
0,613
0,761
0,521
0,690
0,642
1,516
0,597
0,410
0,792
1,642
0,663
0,755
0,746
0,683
0,738
0,758
0,679
0,749
0,537
0,515
0,637
0,747
0,579
0,508
0,417
0,796
0,499
0,534
0,545
0,507
0,782
0,538
0,728
0,779
0,514
0,697
0,740
0,586
0,742
1,483
0,444
0,457
0,520
0,710
0,681
0,605
0,534
0,672
0,462
0,634
0,725
0,640
0,652
0,489
0,590
0,504
0,467
0,653
0,511
0,774
0,531
0,460
0,706
0,719
0,623
0,621
0,481
0,440
0,619
0,466
0,699
0,562
0,613
0,790
0,664
0,426
0,408
1,480
0,523
0,777
0,720
0,715
0,533
0,725
0,543
0,541
0,710
0,571
0,536
0,651
0,582
0,661
0,679
0,626
0,511
0,449
0,758
0,484
1,408
0,621
0,748
0,776
0,751
0,712
0,665
1,486
0,663
1,434
0,487
0,789
0,619
0,589
0,577
0,483
0,771
0,634
0,513
0,788
1,455
0,644
0,515
0,561
0,508
0,765
0,583
0,652
0,495
0,579
0,543
0,505
0,488
0,739
0,586
0,469
0,546
0,777
0,751
0,608
0,577
0,745
0,610
0,520
0,546
1,406
0,608
1,498
0,474
0,432
0,668
0,637
0,555
0,434
0,489
0,704
1,445
1,436
0,750
0,426
0,581
0,701
0,613
0,685
0,454
0,672
0,773
0,560
0,729
0,572
0,748
0,712
0,520
0,447
0,676
0,694
0,720
0,784
0,655
0,674
1,414
1,404
0,410
0,405
0,467
0,616
0,786
1,525
0,771
0,729
0,723
0,520
1,618
0,786
0,690
0,572
1,546
0,553
0,614
0,427
0,772
0,422
0,679
0,732
0,763
0,425
0,711
0,597
0,515
0,604
0,796
0,564
0,765
0,782
0,759
0,725
0,464
0,781
0,657
0,708
0,574
0,504
0,660
0,619
0,501
1,623
0,741
0,621
0,418
0,694
0,646
0,501
0,425
0,645
0,667
0,651
0,571
0,481
0,617
1,438
0,492
1,418
0,527
1,415
0,652
0,623
0,545
0,767
0,687
0,609
0,694
1,431
0,735
0,462
0,667
0,604
0,528
0,626
0,712
0,613
0,538
0,792
0,642
0,654
0,472
1,442
0,617
0,797
0,468
0,577
0,724
0,741
0,711
0,653
0,484
0,680
0,477
0,679
0,683
1,446
1,474
0,600
0,602
0,525
0,630
0,541
0,523
0,513
0,641
0,494
0,615
0,701
0,539
0,721
0,740
0,553
0,697
0,758
0,739
0,497
0,684
0,650
0,495
0,660
1,440
0,790
0,753
0,684
0,499
0,657
0,684
0,615
0,787
0,798
1,444
0,778
0,496
0,769
0,666
0,714
0,646
0,721
0,761
0,697
0,497
0,689
0,746
0,784
0,607
0,729
0,550
1,421
0,753
0,706
0,555
0,691
0,726
1,523
0,557
0,645
0,661
1,407
0,572
0,505
0,771
0,785
0,488
0,756
0,608
0,730
0,597
0,494
0,479
1,528
0,532
0,666
0,570
0,684
0,579
0,685
1,422
0,733
0,682
0,451
1,585
0,664
1,483
0,684
0,413
0,681
0,763
0,605
0,686
0,689
0,758
0,435
0,427
0,427
0,567
0,773
0,589
0,704
1,495
0,694
0,517
0,751
0,619
0,488
0,761
0,646
1,434
0,678
0,551
0,774
0,769
1,441
0,410
1,464
0,736
0,734
0,437
0,627
0,684
1,460
0,602
1,443
0,702
0,505
0,672
0,600
0,512
0,798
0,709
0,466
0,706
0,415
0,521
0,771
0,434
0,542
0,497
