"default","score"
0,697
0,418
0,603
0,418
1,478
0,414
0,434
0,535
0,773
0,775
0,724
0,739
0,539
0,721
0,626
0,508
0,793
0,686
0,487
0,686
0,672
0,465
0,405
0,429
0,797
0,790
0,798
0,791
0,709
0,534
0,622
1,416
0,465
1,452
0,755
0,725
1,412
0,656
0,535
0,600
0,796
0,636
0,522
0,642
1,552
0,560
0,767
0,551
0,680
0,549
0,602
0,406
0,749
0,746
0,779
0,661
0,773
0,669
0,517
0,656
1,449
0,525
0,561
1,426
0,702
0,432
0,619
0,731
1,406
0,601
0,782
0,762
0,567
0,709
0,496
0,400
0,502
1,417
0,490
0,638
0,413
0,412
0,461
0,640
0,609
0,586
0,500
0,687
0,756
0,667
0,522
0,761
0,440
0,444
0,630
1,486
0,721
0,733
0,567
0,615
0,770
0,555
0,778
1,451
0,411
0,709
0,798
0,431
1,508
0,716
1,410
0,573
0,479
0,596
0,647
0,762
0,703
1,484
0,467
0,623
0,541
0,642
0,601
0,679
0,500
0,719
0,715
0,577
0,601
1,451
0,703
0,442
0,647
0,567
0,617
0,556
0,774
0,404
0,489
0,642
0,647
0,702
0,402
0,599
0,765
0,605
0,565
0,748
0,642
0,657
0,727
0,410
0,499
0,598
0,771
0,483
0,705
0,509
0,762
1,477
0,799
0,484
0,547
0,404
0,677
0,534
0,713
0,667
0,773
0,768
0,591
0,548
0,494
0,631
0,700
0,588
0,546
0,682
0,490
1,526
1,412
0,474
0,609
0,638
0,705
0,745
0,476
0,779
0,562
0,730
1,414
0,696
0,662
0,489
0,794
0,709
0,562
0,789
0,799
0,772
0,685
0,438
0,746
0,527
0,658
0,544
0,728
0,774
0,500
0,780
0,696
0,735
0,548
0,425
1,528
0,522
0,471
0,416
1,402
0,757
0,704
0,448
0,494
0,410
0,757
0,790
0,619
0,728
0,648
0,578
0,694
1,475
0,736
0,710
0,493
0,734
0,463
0,568
0,661
0,580
0,404
0,775
0,656
0,432
0,584
0,445
0,784
0,523
0,544
0,649
0,511
1,446
0,718
0,746
1,406
0,715
0,431
0,404
1,491
0,704
0,548
0,655
0,596
0,600
0,773
0,797
0,615
1,527
1,431
0,593
0,657
0,734
0,676
0,490
0,728
1,459
0,650
0,698
0,473
0,577
0,496
0,631
0,594
0,476
0,529
0,403
0,622
0,659
1,574
0,600
0,797
0,423
0,491
0,522
0,760
0,525
0,416
0,499
0,633
1,529
0,445
0,647
0,769
0,640
0,555
0,496
0,788
0,666
0,686
0,762
1,414
0,503
0,473
0,771
0,750
0,591
0,780
1,470
1,452
0,737
1,401
0,791
0,481
0,669
0,622
0,401
0,575
0,701
0,524
0,556
0,673
0,530
0,795
0,552
0,572
0,473
0,522
0,667
0,758
0,746
0,417
0,634
0,791
0,715
0,539
0,799
0,613
0,638
0,510
0,683
0,680
0,630
0,723
0,792
0,635
0,700
0,404
0,637
0,476
0,569
0,716
0,787
0,568
0,555
0,625
0,752
0,593
0,616
0,796
0,679
0,684
0,410
0,641
0,585
0,715
1,458
0,646
1,481
0,563
0,585
0,534
0,569
0,536
0,777
0,678
0,538
0,558
0,444
0,418
0,566
0,608
0,781
0,697
0,443
0,568
0,492
0,479
0,706
0,760
0,550
0,762
0,618
0,496
0,732
0,673
1,445
0,762
0,582
1,424
0,644
0,678
0,735
1,460
0,781
0,633
0,700
0,746
0,614
0,696
0,793
0,664
0,681
0,759
0,725
0,679
0,714
0,697
0,425
0,749
0,792
0,610
0,533
0,640
0,671
0,620
0,528
1,485
0,500
0,771
0,706
0,750
0,490
0,603
1,520
0,778
0,781
0,445
0,612
0,746
0,762
0,703
0,598
0,416
1,448
0,688
0,471
0,635
0,645
0,562
0,775
0,720
0,409
0,787
0,589
0,767
0,798
0,584
0,578
0,604
0,546
0,648
0,682
0,648
1,425
0,773
0,450
0,544
0,515
0,566
0,761
0,574
0,698
0,617
0,555
0,547
0,657
0,427
0,425
0,762
0,678
0,474
0,641
0,702
1,431
0,468
0,622
0,688
0,477
0,660
0,747
0,762
0,564
0,727
0,656
0,578
0,695
0,528
0,677
1,410
0,632
0,576
0,692
0,742
0,568
0,721
0,633
0,573
0,554
0,752
0,535
0,526
0,444
0,467
0,554
0,609
0,694
0,692
0,737
0,771
0,738
0,463
0,709
1,480
0,639
0,655
0,440
0,484
0,640
0,687
1,410
0,534
0,518
0,671
0,518
0,532
0,592
0,770
0,529
0,525
1,416
0,555
0,500
0,775
0,427
0,732
0,636
0,513
0,598
0,613
0,589
0,620
0,636
0,561
0,623
0,671
0,641
0,481
0,465
1,449
1,442
0,494
0,625
0,692
0,614
0,539
0,509
0,591
0,423
0,506
1,428
0,580
0,622
0,695
0,739
0,506
0,700
0,747
0,626
1,436
0,521
0,670
0,404
0,437
1,599
0,685
0,642
0,511
0,616
0,660
0,694
0,762
0,511
1,451
0,787
0,682
0,449
0,662
0,547
0,717
0,410
0,501
0,627
0,642
0,651
0,748
0,615
0,547
0,573
0,571
0,774
0,519
0,631
0,671
0,586
0,628
0,569
0,570
0,554
0,676
0,531
0,501
0,463
0,483
0,747
0,457
0,579
0,453
0,535
0,612
0,644
0,798
0,574
0,609
0,743
0,513
0,630
0,737
0,613
0,652
0,563
0,767
0,520
0,677
0,687
0,550
0,799
0,525
1,471
0,471
0,739
1,433
0,785
1,448
0,560
0,459
0,774
0,587
0,653
0,732
0,514
0,772
0,564
0,616
0,647
0,792
0,570
0,600
0,766
0,510
0,464
1,500
0,451
0,671
0,581
0,790
0,778
0,527
0,535
0,435
0,562
0,462
1,507
0,518
1,400
0,703
0,760
0,428
0,444
0,644
0,769
0,528
0,693
0,687
0,513
1,439
0,748
0,661
0,631
0,681
0,739
0,443
0,780
0,571
0,673
0,684
0,777
1,418
0,488
0,528
0,405
0,522
0,670
0,750
0,736
0,649
0,685
0,749
0,763
0,759
0,577
