"default","score"
0,794
1,497
0,760
0,703
0,748
1,410
0,741
0,482
0,690
0,609
0,763
0,403
1,437
1,406
0,718
1,479
0,748
0,534
0,586
0,708
0,769
0,478
0,464
0,798
0,763
0,420
0,772
0,747
0,572
1,591
1,413
0,475
0,739
0,474
1,408
0,580
0,788
1,420
0,781
0,656
0,787
0,686
1,626
0,731
0,623
0,514
0,744
0,694
0,444
0,783
0,791
1,416
0,426
0,757
0,627
0,516
0,556
0,411
0,665
0,722
1,470
1,580
0,554
0,563
0,733
0,771
1,416
1,420
0,527
0,794
1,440
0,725
0,720
0,747
1,516
0,688
0,440
0,416
0,673
0,406
0,599
0,742
0,695
1,473
0,661
0,466
0,582
0,485
0,700
0,475
0,556
1,405
0,637
0,722
0,547
0,625
0,548
0,755
0,664
0,640
0,580
0,519
0,570
0,720
0,592
0,795
0,736
0,650
0,560
0,598
0,611
0,733
0,768
0,582
0,498
0,424
0,698
0,447
0,457
0,727
0,622
0,596
0,541
0,560
0,793
0,424
0,508
0,552
0,423
0,536
0,470
1,629
0,583
0,715
0,456
0,538
0,545
0,654
0,702
0,498
0,710
0,719
0,456
0,419
0,565
0,475
0,761
1,521
0,619
1,510
0,466
0,653
0,453
0,486
0,553
0,718
0,472
0,656
0,698
0,771
0,456
1,407
0,674
0,418
0,770
0,615
0,600
0,647
0,744
0,770
0,543
1,413
0,545
0,723
0,575
0,788
0,606
0,472
0,625
0,619
0,613
0,671
0,455
1,413
0,723
0,616
0,574
0,582
0,609
0,777
0,756
0,641
0,597
0,700
0,782
1,547
0,745
0,784
0,641
0,523
0,740
0,715
0,621
0,503
0,671
0,746
0,485
0,651
0,579
0,449
0,459
0,737
0,783
1,450
0,565
0,485
0,559
0,660
0,725
0,790
0,798
0,666
0,455
1,557
0,533
0,596
0,551
0,521
0,694
0,695
1,455
0,687
0,759
0,416
0,627
1,409
0,491
0,611
1,443
0,551
0,549
0,703
0,688
0,545
0,787
0,730
0,488
0,563
1,416
0,697
0,699
0,575
0,734
0,608
0,514
0,625
0,753
0,797
0,449
0,591
0,599
0,599
0,592
1,460
0,493
0,613
1,494
0,649
0,772
0,636
0,470
0,406
0,707
0,620
0,772
0,430
0,641
0,505
0,595
0,462
0,729
0,779
0,586
0,757
0,417
1,487
0,640
0,650
0,755
0,770
0,678
0,495
0,765
0,646
0,679
0,695
0,765
1,459
0,615
0,675
0,738
0,509
1,424
0,532
0,784
0,473
0,627
0,611
0,672
1,403
0,789
0,697
0,417
0,531
0,554
0,571
0,491
0,676
0,530
0,715
1,461
0,667
0,765
0,778
1,468
0,767
0,503
0,799
1,462
1,457
0,504
0,629
1,422
0,705
0,629
0,664
0,635
0,448
0,781
0,590
0,682
0,792
0,449
0,664
0,612
0,754
0,713
0,653
1,446
0,753
0,475
0,712
0,424
0,457
0,590
1,414
0,623
0,423
0,736
0,759
0,534
0,788
0,640
0,646
0,485
0,747
0,687
0,486
0,793
0,750
0,794
0,512
1,403
0,735
0,499
0,588
1,449
0,524
0,656
0,758
1,429
0,565
0,632
0,505
0,614
0,633
0,787
0,604
0,772
0,629
0,424
0,594
0,777
0,589
0,783
0,415
0,664
0,796
0,516
0,457
0,466
0,604
0,506
0,583
0,568
0,796
0,463
0,437
0,793
0,714
0,539
0,462
0,409
0,530
0,757
0,784
0,772
0,519
0,418
0,789
1,495
0,569
0,746
0,570
0,588
1,478
1,576
0,798
0,423
0,482
0,501
0,592
0,549
1,545
0,752
1,402
0,452
0,599
0,477
0,800
0,445
0,791
0,625
0,421
0,575
0,800
0,573
0,796
0,578
1,404
0,549
0,531
0,585
0,644
0,718
0,604
0,491
0,580
0,716
0,477
0,705
0,740
0,684
0,513
0,690
0,785
1,563
1,493
1,442
0,506
0,750
0,493
0,791
0,751
0,684
0,551
0,523
0,538
0,783
0,589
1,426
0,613
0,735
0,593
0,792
0,466
0,746
0,406
0,661
1,635
0,434
0,535
0,452
0,554
0,599
0,655
0,570
0,498
0,766
0,590
0,620
0,418
0,493
0,695
0,491
1,459
0,622
1,498
1,495
0,769
0,734
0,504
0,546
0,710
0,564
0,769
1,402
0,485
0,479
0,638
0,758
0,614
0,735
0,478
0,759
1,479
0,580
1,471
0,546
0,741
0,577
0,444
0,662
1,422
0,752
0,752
0,737
0,710
0,596
1,466
0,606
0,670
0,406
0,608
0,640
0,621
0,591
0,754
0,522
0,713
0,535
0,701
0,458
0,457
0,647
0,436
1,416
0,545
0,498
0,493
0,432
0,683
0,706
0,575
0,608
0,719
0,528
0,702
0,557
0,594
0,528
0,685
0,578
0,653
1,544
0,439
0,407
0,683
0,588
0,458
0,515
1,426
0,724
0,547
0,791
0,610
0,581
0,580
0,750
0,571
0,669
0,533
0,735
0,714
0,621
0,748
0,618
0,560
0,706
0,566
0,750
0,593
0,614
0,520
0,559
0,546
0,773
0,751
0,480
0,644
0,565
0,549
0,755
0,577
0,682
0,559
0,636
0,550
1,449
0,723
0,557
0,575
0,638
0,462
0,631
0,688
0,694
0,759
0,476
0,693
0,728
0,668
0,550
0,571
0,445
0,450
0,718
0,780
0,626
0,448
0,761
0,660
1,423
0,499
0,605
0,784
0,774
0,788
0,619
0,496
0,666
0,514
0,585
0,714
0,700
1,421
0,683
0,630
0,425
0,537
0,603
0,703
0,510
0,756
0,732
0,775
0,405
0,476
0,671
0,700
1,440
0,462
0,421
0,736
0,423
0,732
0,680
0,576
1,403
0,667
0,598
0,408
0,542
0,745
1,454
1,414
0,443
0,581
1,499
0,597
0,566
0,551
0,759
0,649
0,500
0,736
0,572
0,570
0,777
0,479
0,789
0,576
0,657
0,484
0,568
0,572
0,426
0,681
0,731
0,587
0,573
0,700
0,694
0,409
0,667
0,510
0,784
0,741
0,755
0,798
0,544
1,513
0,543
0,594
0,752
0,500
0,415
0,666
0,792
0,457
0,793
0,567
0,504
0,683
0,504
0,618
0,656
0,575
0,598
0,503
0,526
0,598
1,492
0,728
0,790
0,443
0,509
0,788
1,444
0,640
0,721
0,438
0,482
0,634
0,405
0,530
0,607
0,654
1,462
0,576
0,650
0,633
1,506
0,580
0,597
0,708
0,746
0,574
0,640
0,712
0,794
0,641
0,455
0,701
0,611
0,661
0,426
0,758
0,582
0,495
0,799
0,763
0,548
0,478
1,426
0,565
0,740
0,792
1,460
0,488
0,732
0,778
0,651
0,602
0,717
0,529
0,755
0,784
0,659
0,726
0,514
0,779
0,639
0,475
0,781
0,788
1,441
0,621
0,561
0,590
0,747
0,770
0,444
0,458
0,746
0,577
0,458
0,799
0,554
0,471
0,700
0,616
0,767
0,491
0,512
0,577
0,799
0,429
0,492
1,492
0,526
0,739
0,717
0,749
1,555
0,768
0,618
1,459
0,480
1,511
0,770
0,422
0,640
0,751
0,619
0,677
0,528
0,765
0,599
0,673
0,695
0,464
0,524
0,608
1,587
0,423
0,595
0,651
0,734
0,695
0,670
0,402
0,602
0,474
1,417
0,783
0,552
0,762
0,537
0,535
0,755
0,425
