"default","score"
0,738
0,766
0,508
0,507
1,492
0,481
0,740
0,591
0,604
0,764
0,711
0,676
0,683
0,581
0,797
0,750
0,465
0,592
0,776
0,467
0,481
0,710
0,605
1,420
0,509
0,458
0,503
0,591
0,576
0,619
0,798
0,569
0,614
0,701
0,579
0,607
0,505
0,771
0,614
0,646
0,502
0,468
0,775
0,493
0,704
0,602
0,534
0,665
0,655
0,672
0,538
0,752
0,720
1,447
0,698
0,757
0,697
0,715
0,579
0,477
0,470
1,418
0,719
1,423
1,508
0,508
0,520
0,525
0,725
0,792
0,683
0,786
0,571
0,724
0,487
0,460
0,545
0,678
0,740
0,700
0,458
0,656
0,584
0,442
0,673
0,448
0,597
0,600
0,547
0,554
0,761
0,724
1,463
0,521
0,788
0,541
0,499
1,458
0,472
0,433
0,481
0,797
0,601
0,539
0,428
0,712
0,402
0,617
0,469
0,675
0,673
0,445
0,628
0,725
0,698
1,475
0,790
0,774
0,426
1,469
0,773
0,405
0,659
0,759
0,435
1,564
0,586
1,478
0,445
0,788
1,438
0,695
0,705
1,412
0,721
0,580
0,655
0,760
1,452
0,625
0,726
0,718
0,571
0,769
0,660
0,695
0,509
0,477
0,797
0,638
0,493
1,447
0,519
0,693
0,648
0,653
0,506
0,744
1,602
0,635
0,681
0,727
0,756
0,635
0,569
0,650
0,713
0,544
0,485
0,517
0,516
0,799
0,401
0,636
0,689
0,501
0,521
0,659
0,560
0,516
0,543
0,690
0,601
0,697
1,473
0,644
0,677
0,762
0,547
0,699
0,712
0,610
0,543
0,731
0,781
0,562
0,787
0,630
0,691
1,462
0,622
0,763
0,452
0,495
0,519
0,618
1,448
0,669
0,633
0,761
0,780
0,622
1,432
0,499
1,418
0,777
0,678
0,717
0,619
0,658
0,549
0,729
0,432
0,605
0,578
0,700
1,605
0,779
0,599
0,573
0,599
0,416
0,633
0,492
0,489
0,706
0,675
0,610
0,567
0,494
0,684
1,443
0,734
0,604
0,558
0,507
0,483
0,615
0,663
0,736
0,672
0,703
0,467
0,582
0,773
0,660
0,696
0,624
0,617
0,742
0,611
0,513
0,731
0,732
0,470
0,677
0,721
0,671
0,678
0,407
0,533
0,577
0,477
0,732
0,681
0,484
0,459
1,424
0,747
0,406
0,468
0,451
0,641
0,438
0,489
0,545
0,608
0,772
0,639
0,782
0,704
0,717
1,418
0,736
0,497
0,774
0,460
0,788
0,797
0,534
0,543
0,655
0,515
0,677
0,759
0,796
0,600
0,571
0,581
0,566
