"default","score"
0,619
0,749
0,617
0,780
0,412
0,619
0,518
0,769
0,747
0,514
0,792
0,737
0,422
0,499
0,797
0,711
0,613
0,721
0,511
0,713
1,420
1,481
0,559
0,696
0,669
0,722
0,609
0,530
0,539
0,436
0,689
0,703
0,691
1,533
0,654
0,509
0,650
0,698
0,409
0,483
0,787
0,621
0,690
0,604
0,770
0,635
0,786
0,703
0,688
0,475
0,763
0,641
0,640
0,642
0,640
0,671
0,598
0,643
0,493
0,599
0,544
0,627
0,767
0,488
0,792
0,506
0,780
0,613
0,703
0,597
0,410
0,439
0,734
0,762
0,613
0,636
0,772
0,718
0,733
0,714
0,505
0,445
1,465
0,680
0,573
0,682
0,726
0,699
0,592
0,688
1,407
0,700
0,723
0,767
0,756
0,607
0,623
0,598
0,573
0,486
0,619
0,431
0,768
0,425
0,553
1,482
0,709
0,698
0,582
0,466
0,735
0,477
0,434
0,522
0,489
1,502
0,794
0,509
0,502
1,488
0,617
0,696
0,534
0,663
0,746
0,508
0,671
0,636
0,616
0,786
0,481
0,675
0,785
0,519
0,760
1,410
0,729
0,415
0,625
0,583
0,588
0,716
0,693
0,768
1,407
0,781
0,583
0,736
0,417
0,477
0,624
1,588
0,705
0,731
0,415
0,632
0,734
0,582
0,758
0,517
0,544
0,586
0,525
0,682
0,422
0,637
0,752
0,643
0,660
0,527
0,548
0,746
0,581
0,448
0,720
0,531
0,616
0,669
0,557
0,771
0,508
0,758
0,729
0,638
0,625
0,716
0,609
0,467
0,625
0,743
0,650
0,572
0,513
0,607
0,494
0,496
0,403
0,779
0,421
1,529
0,713
0,452
0,591
0,798
0,723
0,435
0,530
0,768
1,542
1,424
0,575
0,474
0,554
0,697
0,663
0,637
0,742
0,623
1,432
0,704
0,749
0,645
0,502
0,591
0,659
0,622
0,727
1,426
0,401
0,524
1,459
0,650
0,800
0,548
0,642
0,668
1,457
0,555
0,534
0,497
0,577
0,550
1,423
0,660
0,774
0,462
0,622
0,648
0,717
0,491
0,739
0,687
1,432
0,545
0,659
0,707
0,795
0,530
1,404
0,500
0,488
0,439
0,573
0,678
0,766
0,708
0,774
0,456
0,783
0,507
0,519
0,508
0,794
0,493
0,711
0,634
0,423
0,710
0,682
0,485
0,699
1,471
0,675
0,638
0,648
0,730
0,760
0,554
0,701
0,540
0,714
0,568
0,670
0,682
0,407
0,651
0,792
0,553
0,775
0,686
0,618
0,521
0,508
0,531
0,666
0,418
0,430
0,693
0,742
0,546
0,671
0,751
0,686
0,413
0,568
0,639
0,783
0,599
0,726
0,425
0,759
0,447
0,480
0,605
0,568
0,636
0,523
0,504
0,746
0,752
1,418
0,729
0,544
1,408
0,403
0,625
0,457
0,736
0,709
0,766
0,472
0,493
1,403
0,583
0,790
0,671
1,478
0,603
0,490
0,727
0,698
0,636
0,552
0,452
0,726
0,590
0,650
1,421
0,415
0,458
0,775
0,579
0,615
0,547
0,549
0,733
0,750
0,415
0,494
0,756
0,547
0,421
0,617
0,610
0,532
0,452
1,462
0,739
0,575
0,748
0,567
0,631
0,488
0,472
0,551
0,744
0,721
0,741
0,709
0,539
0,768
0,761
0,435
0,589
0,711
0,780
0,762
0,777
0,767
0,669
0,605
0,596
0,692
1,406
0,481
1,443
0,741
0,490
0,786
0,570
0,718
0,586
1,445
0,446
0,730
0,574
0,757
0,688
0,480
1,443
0,587
0,543
0,737
0,621
1,428
0,415
0,762
0,753
0,780
0,596
0,642
0,553
0,560
0,703
0,724
0,463
0,701
0,635
0,485
0,783
0,778
0,560
0,799
0,600
0,526
0,578
0,480
0,619
0,784
0,674
0,541
0,622
0,662
1,466
0,602
0,722
0,728
0,598
1,410
0,730
0,785
0,582
0,528
0,587
0,508
0,652
0,710
1,448
0,673
0,592
0,483
0,572
0,635
0,513
0,531
0,678
0,785
0,651
0,606
0,723
0,591
0,450
0,578
0,630
0,758
0,545
0,744
0,440
0,557
0,526
0,708
0,778
0,523
1,433
1,484
1,421
0,602
0,785
0,774
0,687
0,402
1,439
0,756
0,699
0,617
0,688
0,674
0,684
0,691
0,798
1,501
0,718
0,680
0,701
0,516
0,617
0,718
0,729
0,597
0,645
0,487
1,411
0,494
0,424
1,418
1,440
0,406
1,494
0,566
0,480
0,786
0,495
0,752
0,505
0,578
1,412
0,657
0,627
0,682
0,480
0,631
0,605
0,590
0,772
0,749
0,677
0,430
0,756
0,515
0,492
0,496
0,797
0,583
0,731
0,598
0,773
0,554
0,678
0,540
0,418
0,468
0,503
0,677
0,792
0,737
0,515
0,658
0,774
0,696
0,545
1,412
1,468
0,536
0,696
1,558
0,688
0,481
0,697
0,722
0,596
0,476
0,715
0,765
0,607
0,668
0,732
0,642
0,607
0,611
0,560
0,606
0,493
0,469
0,428
0,679
0,569
0,465
0,504
0,461
1,462
0,544
0,458
0,468
0,575
0,415
0,469
0,554
0,445
0,784
1,410
0,621
1,407
0,626
0,631
0,613
0,564
0,777
1,507
0,457
1,415
0,610
0,531
0,674
0,605
0,418
0,788
0,623
0,434
0,640
0,788
0,789
1,402
0,675
0,741
0,427
0,752
1,556
1,402
0,579
0,798
0,472
0,648
0,452
1,430
0,770
1,446
0,581
1,400
0,736
0,668
0,577
1,458
0,592
0,683
0,746
0,706
0,680
0,673
1,465
0,783
1,447
0,649
0,464
0,578
0,423
0,685
0,539
0,488
0,427
0,692
0,481
0,666
0,506
0,663
0,466
0,536
0,591
0,713
0,465
0,558
0,635
0,768
1,609
0,689
0,506
1,586
0,601
1,590
0,797
0,552
1,520
1,437
0,569
0,728
0,710
0,773
0,473
0,766
0,612
0,607
0,540
0,669
0,749
0,603
0,563
0,635
0,528
0,417
0,609
0,735
0,644
0,767
0,754
1,434
0,600
0,525
0,428
0,622
0,525
0,574
0,668
0,543
0,581
0,798
0,734
0,736
0,521
0,784
0,650
0,767
0,724
0,798
0,524
0,499
0,655
0,612
0,758
0,641
0,439
0,798
0,719
1,530
0,702
0,684
1,406
0,565
0,453
0,648
0,740
0,755
0,420
0,416
0,622
0,617
0,501
0,722
0,501
0,489
0,707
0,744
0,512
0,421
0,545
0,780
0,678
0,667
0,704
1,480
0,580
0,445
0,625
0,541
0,615
0,491
0,434
0,537
0,581
0,571
0,401
0,790
0,711
1,627
0,466
0,415
0,760
0,497
0,491
0,432
0,539
0,519
0,402
0,547
0,681
0,787
0,417
0,591
1,476
0,570
0,723
0,566
0,574
0,536
0,606
0,503
1,548
0,782
0,540
0,795
0,473
0,510
0,479
0,688
0,545
0,699
0,741
0,631
0,660
0,419
0,480
1,405
0,709
0,575
1,468
0,680
0,665
0,414
1,437
0,408
1,401
0,789
0,688
0,618
0,495
0,657
