"default","score"
0,411
1,404
0,590
0,695
0,758
0,573
0,519
0,580
0,766
0,475
0,572
0,773
0,588
0,552
0,601
0,515
0,554
0,580
0,449
0,474
0,524
0,629
0,774
0,618
0,587
0,603
0,761
1,420
0,795
0,681
0,492
0,656
0,777
0,717
0,725
0,710
1,400
1,415
1,418
0,559
0,714
0,526
1,544
0,716
0,540
0,702
0,682
0,511
0,613
0,435
0,466
0,795
0,579
0,522
0,513
0,557
0,671
0,730
0,676
0,407
1,443
0,420
0,655
1,423
0,495
1,414
0,637
0,734
0,406
0,572
0,784
0,637
0,521
0,614
0,741
0,470
0,704
0,569
1,550
0,411
0,515
1,455
0,650
0,688
0,798
0,479
0,689
0,430
0,764
0,673
0,659
0,554
0,411
0,545
0,574
1,482
0,638
0,772
0,494
0,725
0,643
0,603
0,571
1,528
0,639
0,589
0,506
0,510
0,672
0,701
0,778
0,497
0,610
0,530
0,570
0,416
0,752
1,431
0,634
0,693
0,565
0,653
0,646
0,796
0,560
0,636
0,451
0,649
0,789
0,670
0,551
0,710
0,434
0,732
0,420
0,518
0,716
0,500
0,620
1,404
0,775
1,504
1,473
0,762
0,671
0,772
0,743
0,592
0,594
0,561
0,722
0,525
0,660
0,721
0,711
1,413
0,556
0,555
0,744
0,437
0,622
0,704
0,626
0,673
0,748
0,669
0,754
0,609
0,551
0,794
0,776
0,648
0,586
1,424
0,615
0,724
0,544
0,680
0,688
0,412
0,545
0,630
0,729
0,596
0,472
0,789
0,526
0,702
0,587
0,757
0,684
0,485
0,582
0,740
0,677
0,657
0,496
0,651
0,607
0,615
0,517
0,755
0,577
0,732
0,458
0,684
0,453
0,450
0,587
1,503
0,681
0,654
0,668
0,776
0,520
1,491
0,528
0,665
0,584
0,733
0,787
0,613
0,616
0,742
1,608
0,636
0,777
0,690
0,625
0,575
1,438
0,601
0,784
0,708
0,458
0,547
0,540
0,520
0,532
0,685
0,743
0,547
0,572
0,743
1,479
0,544
0,770
0,432
0,500
0,568
0,480
0,782
0,603
0,437
0,565
0,529
0,679
0,748
1,402
0,584
0,574
1,437
0,663
0,642
1,507
0,582
1,522
0,520
0,530
0,671
0,748
0,540
0,735
0,546
1,590
0,601
0,517
1,452
0,552
0,771
0,566
0,424
0,420
0,408
0,647
0,732
0,628
0,692
0,629
0,502
0,694
0,617
0,454
0,758
0,445
1,544
0,800
0,403
0,771
0,714
1,488
1,413
0,569
0,501
0,685
0,726
0,518
0,609
1,430
0,573
0,777
0,620
1,429
0,492
0,691
0,653
0,726
0,639
0,579
0,540
0,460
0,511
0,494
0,652
0,666
0,616
0,509
0,480
0,623
0,695
0,699
0,749
0,730
0,646
0,591
0,591
0,533
0,612
0,696
0,500
0,629
0,615
0,528
0,760
0,797
0,722
0,540
1,462
0,717
0,403
0,736
0,641
0,549
0,514
0,650
0,614
0,612
0,747
0,770
0,509
0,741
0,480
0,746
0,455
0,476
0,467
0,628
0,499
0,613
0,667
0,751
0,515
0,669
0,456
0,702
0,555
0,553
0,511
0,584
0,597
0,645
0,716
0,791
0,499
0,485
0,686
0,725
0,477
0,595
0,758
0,500
0,596
0,495
0,517
0,690
0,577
0,490
0,410
0,794
0,701
0,493
0,569
0,453
0,673
0,526
0,447
0,750
1,440
0,529
0,614
0,414
0,760
0,460
0,519
0,715
0,593
1,474
0,494
0,686
0,626
0,754
0,630
0,736
0,676
1,413
0,531
0,658
0,558
0,701
0,799
1,502
0,648
0,529
0,777
1,556
0,447
0,791
0,715
1,556
0,493
0,655
0,663
0,418
0,797
1,428
0,565
0,573
0,567
0,764
1,475
0,543
1,450
0,626
0,796
0,616
0,705
0,744
0,545
0,514
0,778
0,428
0,536
0,782
0,797
0,518
0,684
0,534
0,630
0,655
0,561
1,402
0,732
0,601
0,585
0,663
0,612
0,709
0,763
0,780
1,531
1,466
0,436
0,727
0,657
0,432
0,695
0,782
0,740
0,759
1,430
0,752
0,435
0,760
0,701
0,739
0,770
0,634
0,766
0,552
0,732
